L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,87.770000,86.660000,81.900000,74.850000,66.110000,58.280000,50.890000,43.200000,38.150000,33.010000,29.720000,26.620000,24.710000
