dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,34.760000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,34.730000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,34.870000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,34.900000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,34.730000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,34.780000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,34.550000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,34.690000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,34.630000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,34.570000,0.000000
cifar10,old_detach,MNE-standard,1,1,34.440000,0.000000
