site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,5,97.134000,0.311496
both,l2,L2,0.25,5,59.091333,15.393485
both,l2,L2,0.5,5,29.999333,19.233138
both,no_reg,No Reg,0,5,95.804000,1.784903
both,no_reg,No Reg,0.25,5,83.748000,18.727915
both,no_reg,No Reg,0.5,5,69.441333,15.694327
both,old_detach,MNE-L2,0,5,96.816000,0.584021
both,old_detach,MNE-L2,0.25,5,88.896000,11.119709
both,old_detach,MNE-L2,0.5,5,73.437333,17.977219
both,orthogonal,Orthogonal,0,5,97.006000,0.461172
both,orthogonal,Orthogonal,0.25,5,86.780000,17.931104
both,orthogonal,Orthogonal,0.5,5,74.988000,20.821660
