L,T,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1
2,2,96.030000,79.400000,64.210000,53.150000,45.450000,40.170000,35.490000,32.270000,30.070000,28.010000,25.780000,24.560000,23.280000,21.730000,20.110000,19.180000,18.510000,17.980000,17.230000,15.670000,15.790000,15.710000,14.430000,14.760000,14.130000,13.780000,13.230000,12.960000,12.900000,12.630000,12.490000,11.980000,11.960000,11.630000,11.770000,11.280000,11.030000,11.240000,10.920000,10.660000,10.950000,10.920000,10.890000,10.730000,11.220000,9.980000,10.280000,10.310000,9.860000,10.530000,10.700000
2,16,98.970000,98.960000,98.940000,99.000000,98.880000,98.870000,98.900000,98.840000,98.810000,98.850000,98.760000,98.770000,98.700000,98.700000,98.530000,98.360000,98.340000,98.340000,98.120000,97.900000,97.740000,97.450000,97.360000,97.030000,96.570000,96.470000,96.140000,95.880000,95.160000,94.710000,93.940000,93.450000,92.430000,91.910000,91.290000,90.840000,89.420000,87.840000,87.560000,86.320000,85.080000,84.330000,82.930000,82.020000,80.620000,79.260000,77.800000,76.930000,75.200000,74.540000,72.820000
4,16,98.980000,98.900000,98.680000,98.330000,98.140000,97.930000,97.810000,97.530000,97.210000,96.830000,96.630000,96.390000,95.940000,95.440000,95.170000,94.440000,93.970000,92.840000,92.370000,91.610000,91.360000,90.130000,89.330000,88.620000,87.890000,87.030000,86.380000,85.720000,84.990000,83.620000,83.240000,82.530000,81.590000,81.040000,79.730000,79.120000,78.640000,77.290000,76.470000,76.050000,75.010000,74.320000,73.590000,72.130000,71.710000,70.480000,69.770000,68.970000,67.100000,67.060000,65.980000
8,16,98.910000,98.890000,98.900000,98.830000,98.870000,98.790000,98.770000,98.800000,98.690000,98.650000,98.560000,98.570000,98.490000,98.480000,98.340000,98.270000,98.100000,98.290000,98.040000,98.020000,97.930000,97.770000,97.910000,97.570000,97.840000,97.500000,97.430000,97.540000,97.330000,97.110000,96.990000,96.660000,96.650000,96.500000,96.200000,96.200000,95.760000,95.810000,95.350000,94.920000,94.950000,94.300000,93.870000,94.040000,93.570000,93.420000,92.920000,92.610000,92.230000,91.960000,91.140000
16,16,99.070000,99.030000,99.030000,99.000000,99.010000,99.000000,98.980000,98.950000,98.940000,98.850000,98.930000,98.870000,98.830000,98.840000,98.840000,98.790000,98.750000,98.740000,98.660000,98.720000,98.680000,98.630000,98.590000,98.540000,98.470000,98.310000,98.290000,98.330000,98.290000,98.220000,98.090000,98.030000,98.040000,98.100000,97.830000,97.670000,97.620000,97.400000,97.320000,97.450000,97.170000,96.910000,96.780000,96.830000,96.360000,96.470000,96.250000,96.190000,95.790000,95.820000,95.080000
32,16,98.950000,98.920000,98.980000,98.870000,98.940000,98.920000,98.890000,98.960000,98.920000,98.910000,98.920000,98.840000,98.850000,98.880000,98.760000,98.820000,98.750000,98.710000,98.660000,98.610000,98.590000,98.640000,98.490000,98.480000,98.380000,98.280000,98.300000,98.330000,98.220000,98.200000,98.060000,98.070000,97.890000,97.960000,97.720000,97.580000,97.580000,97.260000,97.010000,96.860000,96.750000,96.610000,96.640000,96.500000,96.240000,95.900000,95.750000,95.250000,95.280000,95.040000,94.710000
