method,sigma,acc
mne_l2,0.0,97.27
mne_l2,0.02,97.26
mne_l2,0.04,97.3
mne_l2,0.06,97.2
mne_l2,0.08,97.24
mne_l2,0.1,97.26
mne_l2,0.12,97.23
mne_l2,0.14,97.24
mne_l2,0.16,97.2
mne_l2,0.18,97.18
mne_l2,0.2,97.2
mne_l2,0.22,97.23
mne_l2,0.24,97.25
mne_l2,0.26,97.21
mne_l2,0.28,97.18
mne_l2,0.3,97.06
mne_l2,0.32,97.14
mne_l2,0.34,97.07
mne_l2,0.36,97.03
mne_l2,0.38,97.19
mne_l2,0.4,97.01
mne_l2,0.42,97.05
mne_l2,0.44,97.06
mne_l2,0.46,97.12
mne_l2,0.48,97.08
mne_l2,0.5,97.11
mne_l2,0.52,96.96
mne_l2,0.54,96.99
mne_l2,0.56,96.98
mne_l2,0.58,97.14
mne_l2,0.6,96.95
mne_l2,0.62,96.98
mne_l2,0.64,96.87
mne_l2,0.66,96.85
mne_l2,0.68,96.92
mne_l2,0.7,96.96
mne_l2,0.72,97.07
mne_l2,0.74,96.92
mne_l2,0.76,96.82
mne_l2,0.78,96.83
mne_l2,0.8,96.82
mne_l2,0.82,97.04
mne_l2,0.84,96.91
mne_l2,0.86,96.73
mne_l2,0.88,96.82
mne_l2,0.9,96.75
mne_l2,0.92,96.72
mne_l2,0.94,96.81
mne_l2,0.96,96.76
mne_l2,0.98,96.75
mne_l2,1.0,96.79
no_regularization,0.0,96.71
no_regularization,0.02,96.74
no_regularization,0.04,96.75
no_regularization,0.06,96.71
no_regularization,0.08,96.69
no_regularization,0.1,96.68
no_regularization,0.12,96.64
no_regularization,0.14,96.56
no_regularization,0.16,96.69
no_regularization,0.18,96.61
no_regularization,0.2,96.48
no_regularization,0.22,96.72
no_regularization,0.24,96.5
no_regularization,0.26,96.6
no_regularization,0.28,96.66
no_regularization,0.3,96.55
no_regularization,0.32,96.47
no_regularization,0.34,96.34
no_regularization,0.36,96.23
no_regularization,0.38,96.56
no_regularization,0.4,96.28
no_regularization,0.42,96.39
no_regularization,0.44,96.4
no_regularization,0.46,96.28
no_regularization,0.48,96.33
no_regularization,0.5,96.25
no_regularization,0.52,96.17
no_regularization,0.54,96.28
no_regularization,0.56,96.23
no_regularization,0.58,96.28
no_regularization,0.6,96.15
no_regularization,0.62,95.86
no_regularization,0.64,95.83
no_regularization,0.66,95.89
no_regularization,0.68,95.66
no_regularization,0.7,95.75
no_regularization,0.72,95.69
no_regularization,0.74,95.57
no_regularization,0.76,95.63
no_regularization,0.78,95.37
no_regularization,0.8,95.66
no_regularization,0.82,95.66
no_regularization,0.84,95.41
no_regularization,0.86,94.94
no_regularization,0.88,94.91
no_regularization,0.9,95.14
no_regularization,0.92,95.08
no_regularization,0.94,95.28
no_regularization,0.96,95.13
no_regularization,0.98,94.85
no_regularization,1.0,94.53
weight_decay,0.0,97.93
weight_decay,0.02,97.91
weight_decay,0.04,97.9
weight_decay,0.06,97.86
weight_decay,0.08,97.93
weight_decay,0.1,97.94
weight_decay,0.12,97.87
weight_decay,0.14,97.86
weight_decay,0.16,97.85
weight_decay,0.18,97.89
weight_decay,0.2,97.89
weight_decay,0.22,97.91
weight_decay,0.24,97.74
weight_decay,0.26,97.85
weight_decay,0.28,97.85
weight_decay,0.3,97.89
weight_decay,0.32,97.91
weight_decay,0.34,97.81
weight_decay,0.36,97.83
weight_decay,0.38,97.77
weight_decay,0.4,97.72
weight_decay,0.42,97.84
weight_decay,0.44,97.78
weight_decay,0.46,97.81
weight_decay,0.48,97.73
weight_decay,0.5,97.81
weight_decay,0.52,97.61
weight_decay,0.54,97.69
weight_decay,0.56,97.66
weight_decay,0.58,97.72
weight_decay,0.6,97.69
weight_decay,0.62,97.79
weight_decay,0.64,97.66
weight_decay,0.66,97.68
weight_decay,0.68,97.69
weight_decay,0.7,97.69
weight_decay,0.72,97.65
weight_decay,0.74,97.67
weight_decay,0.76,97.71
weight_decay,0.78,97.71
weight_decay,0.8,97.6
weight_decay,0.82,97.62
weight_decay,0.84,97.72
weight_decay,0.86,97.62
weight_decay,0.88,97.77
weight_decay,0.9,97.45
weight_decay,0.92,97.76
weight_decay,0.94,97.5
weight_decay,0.96,97.56
weight_decay,0.98,97.61
weight_decay,1.0,97.54
