site,method,method_label,sigma_scale,sigma,n,acc_mean,acc_std
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,0,1,88.290000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,0.05,1,81.648000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,0.1,1,68.188000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,0.15,1,54.460000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,0.2,1,43.430000,0.000000
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,0,1,87.490000,0.000000
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,0.05,1,80.996000,0.000000
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,0.1,1,65.708000,0.000000
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,0.15,1,48.644000,0.000000
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,0.2,1,35.670000,0.000000
