site,method,method_label,sigma_scale,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
post_input_if,manual_l2_all,Manual L2 (all params),input_if_threshold,88.290000,0.2,43.430000,44.860000,0.491902,67.539000,0.764968
post_input_if,wd_weight_only,WD (weights only),input_if_threshold,87.490000,0.2,35.670000,51.820000,0.407704,64.232000,0.734164
