method,checkpoint,parameter_type,layer,value
all_parameters,best_val,gamma_rms,bns.16,0.8272372484207153
all_parameters,best_val,gamma_rms,bns.17,0.9112685322761536
all_parameters,best_val,gamma_rms,bns.18,0.8318029046058655
all_parameters,best_val,gamma_rms,bns.19,1.4222712516784668
all_parameters,best_val,lambda,ifs.0,6.693641185760498
all_parameters,best_val,lambda,ifs.1,6.6582136154174805
all_parameters,best_val,lambda,ifs.2,6.780451774597168
all_parameters,best_val,lambda,ifs.3,6.717659950256348
all_parameters,best_val,lambda,ifs.4,6.772052764892578
all_parameters,best_val,lambda,ifs.5,6.748200416564941
all_parameters,best_val,lambda,ifs.6,6.800057888031006
all_parameters,best_val,lambda,ifs.7,6.780126094818115
all_parameters,best_val,lambda,ifs.8,6.863601207733154
all_parameters,best_val,lambda,ifs.9,6.800833225250244
all_parameters,best_val,lambda,ifs.10,6.8685150146484375
all_parameters,best_val,lambda,ifs.11,6.793190002441406
all_parameters,best_val,lambda,ifs.12,6.846823215484619
all_parameters,best_val,lambda,ifs.13,6.812178134918213
all_parameters,best_val,lambda,ifs.14,6.8401994705200195
all_parameters,best_val,lambda,ifs.15,6.816873073577881
all_parameters,best_val,lambda,ifs.16,6.885534286499023
all_parameters,best_val,lambda,ifs.17,6.821224212646484
all_parameters,best_val,lambda,ifs.18,6.88765811920166
all_parameters,best_val,lambda,ifs.19,6.760671615600586
all_parameters,final,lambda,input_if,6.387551307678223
all_parameters,final,gamma_rms,bns.0,1.0285406112670898
all_parameters,final,gamma_rms,bns.1,1.0432476997375488
all_parameters,final,gamma_rms,bns.2,1.1416298151016235
all_parameters,final,gamma_rms,bns.3,0.998833954334259
all_parameters,final,gamma_rms,bns.4,0.9500809907913208
all_parameters,final,gamma_rms,bns.5,0.9752646684646606
all_parameters,final,gamma_rms,bns.6,0.8483127951622009
all_parameters,final,gamma_rms,bns.7,0.948391854763031
all_parameters,final,gamma_rms,bns.8,0.8403710126876831
all_parameters,final,gamma_rms,bns.9,0.9300381541252136
all_parameters,final,gamma_rms,bns.10,0.8432955145835876
all_parameters,final,gamma_rms,bns.11,0.937103271484375
all_parameters,final,gamma_rms,bns.12,0.870094895362854
all_parameters,final,gamma_rms,bns.13,0.9200855493545532
all_parameters,final,gamma_rms,bns.14,0.8353160619735718
all_parameters,final,gamma_rms,bns.15,0.9154046773910522
all_parameters,final,gamma_rms,bns.16,0.8272372484207153
all_parameters,final,gamma_rms,bns.17,0.9112685322761536
all_parameters,final,gamma_rms,bns.18,0.8318029046058655
all_parameters,final,gamma_rms,bns.19,1.4222712516784668
all_parameters,final,lambda,ifs.0,6.693641185760498
all_parameters,final,lambda,ifs.1,6.6582136154174805
all_parameters,final,lambda,ifs.2,6.780451774597168
all_parameters,final,lambda,ifs.3,6.717659950256348
all_parameters,final,lambda,ifs.4,6.772052764892578
all_parameters,final,lambda,ifs.5,6.748200416564941
all_parameters,final,lambda,ifs.6,6.800057888031006
all_parameters,final,lambda,ifs.7,6.780126094818115
all_parameters,final,lambda,ifs.8,6.863601207733154
all_parameters,final,lambda,ifs.9,6.800833225250244
all_parameters,final,lambda,ifs.10,6.8685150146484375
all_parameters,final,lambda,ifs.11,6.793190002441406
all_parameters,final,lambda,ifs.12,6.846823215484619
all_parameters,final,lambda,ifs.13,6.812178134918213
all_parameters,final,lambda,ifs.14,6.8401994705200195
all_parameters,final,lambda,ifs.15,6.816873073577881
all_parameters,final,lambda,ifs.16,6.885534286499023
all_parameters,final,lambda,ifs.17,6.821224212646484
all_parameters,final,lambda,ifs.18,6.88765811920166
all_parameters,final,lambda,ifs.19,6.760671615600586
