L,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
16,87.390000,87.230000,87.280000,87.240000,87.240000,87.060000,86.960000,87.000000,86.590000,86.200000,85.800000,85.520000,84.470000,83.820000,82.260000,81.350000,79.420000,77.640000,75.750000,73.740000,71.110000
