site,method,method_label,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
post_input_if,manual_l2_all,Manual L2 (all params),80.050000,1,36.576667,43.473333,0.456923,54.331667,0.678722
post_input_if,wd_weight_only,WD (weights only),79.230000,1,37.163333,42.066667,0.469056,56.710000,0.715764
