architecture,depth,n_lambda,weights_val_acc,all_val_acc,delta_val_acc,weights_test_acc,all_test_acc,delta_test_acc,weights_train_val_gap,all_train_val_gap,delta_train_val_gap,weights_snn_sigma0,all_snn_sigma0,delta_snn_sigma0,weights_snn_sigma1,all_snn_sigma1,delta_snn_sigma1,weights_snn_drop,all_snn_drop,delta_snn_drop,weights_lambda_mean,all_lambda_mean,delta_lambda_mean,weights_gamma_abs_mean,all_gamma_abs_mean
residual_constant,20,21,88.1,88.39,0.29000000000000625,86.98,87.14,0.1599999999999966,1.5740000000000123,1.5480000000000018,-0.02600000000001046,83.87,84.01,0.14000000000000057,45.913333333333334,47.633333333333326,1.7199999999999918,37.95666666666667,36.37666666666668,-1.5799999999999912,7.901634693145752,6.77786922454834,-1.123765468597412,1.089429497718811,0.9484506845474243
residual_constant,40,41,87.28,87.7,0.4200000000000017,86.49,86.51,0.020000000000010232,1.8900000000000006,1.6559999999999917,-0.23400000000000887,80.33,82.69,2.3599999999999994,27.00666666666667,29.27333333333333,2.2666666666666586,53.32333333333332,53.41666666666667,0.09333333333334792,7.951211929321289,6.8305230140686035,-1.1206889152526855,1.0395889282226562,0.8968229293823242
residual_constant,60,61,87.09,87.02,-0.07000000000000739,85.89,86.26,0.37000000000000455,1.445999999999998,1.608000000000004,0.16200000000000614,80.7,83.22,2.519999999999996,27.58,30.13,2.5500000000000007,53.120000000000005,53.09,-0.030000000000001137,7.975846767425537,6.849804878234863,-1.1260418891906738,1.0159131288528442,0.8779608011245728
residual_constant,80,81,87.03,87.01,-0.01999999999999602,86.27,86.59,0.3200000000000074,1.5919999999999987,1.461999999999989,-0.13000000000000966,82.96,82.96,0.0,32.21666666666667,25.44333333333333,-6.773333333333337,50.743333333333325,57.516666666666666,6.7733333333333405,7.986871242523193,6.862347602844238,-1.124523639678955,1.0073493719100952,0.867117702960968
residual_constant,120,121,86.64,86.44,-0.20000000000000284,86.09,85.22,-0.8700000000000045,0.9639999999999986,0.9840000000000089,0.020000000000010232,80.5,82.79,2.2900000000000063,40.07,23.91,-16.16,40.43,58.88000000000001,18.45000000000001,7.993561744689941,6.895458221435547,-1.0981035232543945,1.001409649848938,0.8633354306221008
residual_constant,160,161,85.34,85.81,0.46999999999999886,84.66,85.22,0.5600000000000023,1.0579999999999927,1.039999999999992,-0.018000000000000682,78.76,80.92,2.1599999999999966,50.173333333333325,37.50666666666667,-12.666666666666657,28.58666666666668,43.413333333333334,14.826666666666654,7.993227958679199,6.871806621551514,-1.1214213371276855,1.0023267269134521,0.8603967428207397
residual_constant,200,201,83.98,85.36,1.3799999999999955,83.15,83.94,0.789999999999992,0.7800000000000011,0.4339999999999975,-0.34600000000000364,80.38,76.09,-4.289999999999992,34.86000000000001,31.126666666666665,-3.7333333333333414,45.51999999999999,44.96333333333334,-0.5566666666666507,7.9979729652404785,6.872178554534912,-1.1257944107055664,0.9992921352386475,0.8593041300773621
