method,sigma,acc
mne_l2,0.0,99.07
mne_l2,0.02,99.01
mne_l2,0.04,99.11
mne_l2,0.06,99.08
mne_l2,0.08,99.13
mne_l2,0.1,99.05
mne_l2,0.12,99.06
mne_l2,0.14,99.02
mne_l2,0.16,99.0
mne_l2,0.18,99.11
mne_l2,0.2,99.07
mne_l2,0.22,99.02
mne_l2,0.24,99.03
mne_l2,0.26,99.03
mne_l2,0.28,98.99
mne_l2,0.3,98.98
mne_l2,0.32,98.9
mne_l2,0.34,98.96
mne_l2,0.36,98.94
mne_l2,0.38,98.96
mne_l2,0.4,98.95
mne_l2,0.42,98.9
mne_l2,0.44,98.96
mne_l2,0.46,98.87
mne_l2,0.48,98.83
mne_l2,0.5,98.8
mne_l2,0.52,98.72
mne_l2,0.54,98.79
mne_l2,0.56,98.73
mne_l2,0.58,98.7
mne_l2,0.6,98.63
mne_l2,0.62,98.73
mne_l2,0.64,98.53
mne_l2,0.66,98.7
mne_l2,0.68,98.61
mne_l2,0.7,98.56
mne_l2,0.72,98.4
mne_l2,0.74,98.36
mne_l2,0.76,98.25
mne_l2,0.78,98.15
mne_l2,0.8,98.17
mne_l2,0.82,97.95
mne_l2,0.84,97.92
mne_l2,0.86,97.92
mne_l2,0.88,97.66
mne_l2,0.9,97.92
mne_l2,0.92,97.58
mne_l2,0.94,97.48
mne_l2,0.96,97.28
mne_l2,0.98,97.08
mne_l2,1.0,97.1
no_regularization,0.0,99.09
no_regularization,0.02,99.09
no_regularization,0.04,99.08
no_regularization,0.06,99.08
no_regularization,0.08,99.06
no_regularization,0.1,99.03
no_regularization,0.12,98.85
no_regularization,0.14,98.82
no_regularization,0.16,98.87
no_regularization,0.18,98.72
no_regularization,0.2,98.6
no_regularization,0.22,98.56
no_regularization,0.24,98.47
no_regularization,0.26,98.44
no_regularization,0.28,98.39
no_regularization,0.3,98.42
no_regularization,0.32,98.23
no_regularization,0.34,98.19
no_regularization,0.36,98.04
no_regularization,0.38,98.13
no_regularization,0.4,97.97
no_regularization,0.42,97.98
no_regularization,0.44,97.82
no_regularization,0.46,97.67
no_regularization,0.48,97.66
no_regularization,0.5,97.48
no_regularization,0.52,97.43
no_regularization,0.54,97.38
no_regularization,0.56,97.31
no_regularization,0.58,97.17
no_regularization,0.6,97.06
no_regularization,0.62,96.94
no_regularization,0.64,96.61
no_regularization,0.66,96.59
no_regularization,0.68,96.51
no_regularization,0.7,96.25
no_regularization,0.72,95.99
no_regularization,0.74,95.85
no_regularization,0.76,95.83
no_regularization,0.78,95.51
no_regularization,0.8,95.41
no_regularization,0.82,95.27
no_regularization,0.84,95.0
no_regularization,0.86,94.8
no_regularization,0.88,94.48
no_regularization,0.9,94.25
no_regularization,0.92,93.87
no_regularization,0.94,93.62
no_regularization,0.96,93.76
no_regularization,0.98,93.49
no_regularization,1.0,92.81
weight_decay,0.0,99.0
weight_decay,0.02,99.04
weight_decay,0.04,99.02
weight_decay,0.06,99.01
weight_decay,0.08,99.0
weight_decay,0.1,99.02
weight_decay,0.12,99.07
weight_decay,0.14,99.03
weight_decay,0.16,98.99
weight_decay,0.18,99.0
weight_decay,0.2,98.99
weight_decay,0.22,98.97
weight_decay,0.24,98.91
weight_decay,0.26,98.85
weight_decay,0.28,98.83
weight_decay,0.3,98.85
weight_decay,0.32,98.67
weight_decay,0.34,98.64
weight_decay,0.36,98.55
weight_decay,0.38,98.52
weight_decay,0.4,98.32
weight_decay,0.42,98.22
weight_decay,0.44,98.2
weight_decay,0.46,98.14
weight_decay,0.48,97.89
weight_decay,0.5,97.74
weight_decay,0.52,97.45
weight_decay,0.54,97.26
weight_decay,0.56,97.11
weight_decay,0.58,96.9
weight_decay,0.6,96.74
weight_decay,0.62,96.48
weight_decay,0.64,96.3
weight_decay,0.66,95.73
weight_decay,0.68,95.59
weight_decay,0.7,95.16
weight_decay,0.72,94.75
weight_decay,0.74,94.19
weight_decay,0.76,93.91
weight_decay,0.78,93.39
weight_decay,0.8,93.23
weight_decay,0.82,92.45
weight_decay,0.84,92.34
weight_decay,0.86,92.09
weight_decay,0.88,91.31
weight_decay,0.9,90.58
weight_decay,0.92,90.18
weight_decay,0.94,89.36
weight_decay,0.96,89.26
weight_decay,0.98,88.71
weight_decay,1.0,88.36
