L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,49.530000,35.320000,20.600000,12.140000,7.820000,5.360000,4.130000,3.140000,2.640000,2.330000,2.130000,1.900000,1.660000
