arch,hidden_size,regularizer,DRS_mean,DRS_std,DRS_sem,n_seeds
fc3rev_h4,4,mne_l2,0.997329,0.002366,0.001058,5
fc3rev_h4,4,weight_decay,0.948094,0.052736,0.023584,5
fc3rev_h4,4,no_regularization,0.877664,0.056101,0.025089,5
fc3rev_h8,8,mne_l2,0.999007,0.000524,0.000234,5
fc3rev_h8,8,weight_decay,0.988228,0.009069,0.004056,5
fc3rev_h8,8,no_regularization,0.971066,0.012686,0.005673,5
fc3rev_h16,16,mne_l2,0.999307,0.000310,0.000139,5
fc3rev_h16,16,weight_decay,0.998953,0.000339,0.000152,5
fc3rev_h16,16,no_regularization,0.994931,0.000741,0.000332,5
fc3rev_h32,32,mne_l2,0.999591,0.000074,0.000033,5
fc3rev_h32,32,weight_decay,0.999714,0.000077,0.000034,5
fc3rev_h32,32,no_regularization,0.998953,0.000715,0.000320,5
fc3rev_h64,64,mne_l2,0.999696,0.000061,0.000027,5
fc3rev_h64,64,weight_decay,0.999730,0.000185,0.000083,5
fc3rev_h64,64,no_regularization,0.999558,0.000195,0.000087,5
fc3rev_h128,128,mne_l2,0.999742,0.000098,0.000044,5
fc3rev_h128,128,weight_decay,0.999787,0.000086,0.000038,5
fc3rev_h128,128,no_regularization,0.999658,0.000120,0.000054,5
fc3rev_h256,256,mne_l2,0.999757,0.000077,0.000035,5
fc3rev_h256,256,weight_decay,0.999691,0.000093,0.000042,5
fc3rev_h256,256,no_regularization,0.999643,0.000174,0.000078,5
