method,sigma,acc
mne_l2,0.0,89.28
mne_l2,0.1,89.27
mne_l2,0.2,89.24
mne_l2,0.3,89.28
mne_l2,0.4,89.09
mne_l2,0.5,88.95
mne_l2,0.6,88.29
mne_l2,0.7,87.12
mne_l2,0.8,85.19
mne_l2,0.9,82.04
mne_l2,1.0,75.57
weight_decay,0.0,89.88
weight_decay,0.1,89.56
weight_decay,0.2,82.4
weight_decay,0.3,42.22
weight_decay,0.4,22.35
weight_decay,0.5,17.71
weight_decay,0.6,15.74
weight_decay,0.7,14.61
weight_decay,0.8,13.93
weight_decay,0.9,13.32
weight_decay,1.0,12.88
