L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,81.710000,75.300000,64.470000,52.130000,40.850000,32.430000,26.960000,23.510000,20.580000,18.090000,16.700000,15.370000,14.800000
