method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.538047790527344
weights_only,best_val,gamma_rms,bns.0,1.1807465553283691
weights_only,best_val,gamma_rms,bns.1,1.1489864587783813
weights_only,best_val,gamma_rms,bns.2,1.1263347864151
weights_only,best_val,gamma_rms,bns.3,1.098192572593689
weights_only,best_val,gamma_rms,bns.4,1.0964648723602295
weights_only,best_val,gamma_rms,bns.5,1.1073747873306274
weights_only,best_val,gamma_rms,bns.6,1.098088264465332
weights_only,best_val,gamma_rms,bns.7,1.0796968936920166
weights_only,best_val,gamma_rms,bns.8,1.2104524374008179
weights_only,best_val,lambda,ifs.0,7.781472206115723
weights_only,best_val,lambda,ifs.1,7.827476978302002
weights_only,best_val,lambda,ifs.2,7.855729103088379
weights_only,best_val,lambda,ifs.3,7.783498764038086
weights_only,best_val,lambda,ifs.4,7.787109375
weights_only,best_val,lambda,ifs.5,7.771754741668701
weights_only,best_val,lambda,ifs.6,7.678431034088135
weights_only,best_val,lambda,ifs.7,7.745123386383057
weights_only,best_val,lambda,ifs.8,7.887656211853027
weights_only,final,lambda,input_if,7.530417442321777
weights_only,final,gamma_rms,bns.0,1.183157205581665
weights_only,final,gamma_rms,bns.1,1.1516822576522827
weights_only,final,gamma_rms,bns.2,1.1288533210754395
weights_only,final,gamma_rms,bns.3,1.0999464988708496
weights_only,final,gamma_rms,bns.4,1.098352074623108
weights_only,final,gamma_rms,bns.5,1.1094582080841064
weights_only,final,gamma_rms,bns.6,1.099848747253418
weights_only,final,gamma_rms,bns.7,1.0811612606048584
weights_only,final,gamma_rms,bns.8,1.2161800861358643
weights_only,final,lambda,ifs.0,7.77834939956665
weights_only,final,lambda,ifs.1,7.824127197265625
weights_only,final,lambda,ifs.2,7.85274600982666
weights_only,final,lambda,ifs.3,7.779412746429443
weights_only,final,lambda,ifs.4,7.782728672027588
weights_only,final,lambda,ifs.5,7.766968727111816
weights_only,final,lambda,ifs.6,7.672166347503662
weights_only,final,lambda,ifs.7,7.74019193649292
weights_only,final,lambda,ifs.8,7.885644912719727
all_parameters,best_val,lambda,input_if,6.438478469848633
all_parameters,best_val,gamma_rms,bns.0,1.0013208389282227
all_parameters,best_val,gamma_rms,bns.1,0.9921249151229858
all_parameters,best_val,gamma_rms,bns.2,0.9830216765403748
all_parameters,best_val,gamma_rms,bns.3,0.9533879160881042
all_parameters,best_val,gamma_rms,bns.4,0.9571765661239624
all_parameters,best_val,gamma_rms,bns.5,0.9649084806442261
all_parameters,best_val,gamma_rms,bns.6,0.9576206207275391
all_parameters,best_val,gamma_rms,bns.7,0.9352023601531982
all_parameters,best_val,gamma_rms,bns.8,1.0985044240951538
all_parameters,best_val,lambda,ifs.0,6.712141513824463
all_parameters,best_val,lambda,ifs.1,6.715517997741699
all_parameters,best_val,lambda,ifs.2,6.739360332489014
all_parameters,best_val,lambda,ifs.3,6.662940502166748
all_parameters,best_val,lambda,ifs.4,6.658877372741699
all_parameters,best_val,lambda,ifs.5,6.6479339599609375
all_parameters,best_val,lambda,ifs.6,6.54936408996582
all_parameters,best_val,lambda,ifs.7,6.632717132568359
all_parameters,best_val,lambda,ifs.8,6.7732415199279785
all_parameters,final,lambda,input_if,6.438197612762451
all_parameters,final,gamma_rms,bns.0,1.0013293027877808
all_parameters,final,gamma_rms,bns.1,0.992123544216156
all_parameters,final,gamma_rms,bns.2,0.9830166101455688
all_parameters,final,gamma_rms,bns.3,0.9533824324607849
all_parameters,final,gamma_rms,bns.4,0.9571731090545654
all_parameters,final,gamma_rms,bns.5,0.9649056196212769
all_parameters,final,gamma_rms,bns.6,0.9576148986816406
all_parameters,final,gamma_rms,bns.7,0.9351959824562073
all_parameters,final,gamma_rms,bns.8,1.0985519886016846
all_parameters,final,lambda,ifs.0,6.711934566497803
all_parameters,final,lambda,ifs.1,6.715331077575684
all_parameters,final,lambda,ifs.2,6.739173412322998
all_parameters,final,lambda,ifs.3,6.662724494934082
all_parameters,final,lambda,ifs.4,6.6586527824401855
all_parameters,final,lambda,ifs.5,6.6476945877075195
all_parameters,final,lambda,ifs.6,6.54908561706543
all_parameters,final,lambda,ifs.7,6.632452487945557
all_parameters,final,lambda,ifs.8,6.773054599761963
