experiment,dataset,arch,hidden_size,method,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
new_fc3.2_three_regs,mnist,fc3rev_h16,16,weight_decay,weight_decay,0.998953,0.000339,0.000152,0.994425,0.001245,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,mne_l2,mne_l2,0.999775,0.000048,0.000021,0.998810,0.000500,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,no_regularization,no_regularization,0.999643,0.000174,0.000078,0.998177,0.000956,5
new_fc3.2_three_regs,mnist,fc3rev_h256,256,weight_decay,weight_decay,0.999691,0.000093,0.000042,0.998526,0.000604,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,mne_l2,mne_l2,0.999698,0.000143,0.000064,0.998333,0.000379,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,no_regularization,no_regularization,0.998953,0.000715,0.000320,0.994382,0.001768,5
new_fc3.2_three_regs,mnist,fc3rev_h32,32,weight_decay,weight_decay,0.999714,0.000077,0.000034,0.997740,0.000453,5
new_fc3.2_three_regs,mnist,fc3rev_h4,4,mne_l2,mne_l2,0.985314,0.017915,0.008012,0.978630,0.016603,5
new_fc3.2_three_regs,mnist,fc3rev_h4,4,no_regularization,no_regularization,0.877664,0.056101,0.025089,0.855960,0.062203,5
new_fc3.2_three_regs,mnist,fc3rev_h4,4,weight_decay,weight_decay,0.948094,0.052736,0.023584,0.938230,0.051541,5
new_fc3.2_three_regs,mnist,fc3rev_h64,64,mne_l2,mne_l2,0.999691,0.000056,0.000025,0.998228,0.000268,5
new_fc3.2_three_regs,mnist,fc3rev_h64,64,no_regularization,no_regularization,0.999558,0.000195,0.000087,0.998012,0.000709,5
new_fc3.2_three_regs,mnist,fc3rev_h64,64,weight_decay,weight_decay,0.999730,0.000185,0.000083,0.998403,0.000593,5
new_fc3.2_three_regs,mnist,fc3rev_h8,8,mne_l2,mne_l2,0.998630,0.000477,0.000213,0.995300,0.000946,5
new_fc3.2_three_regs,mnist,fc3rev_h8,8,no_regularization,no_regularization,0.971066,0.012686,0.005673,0.953521,0.014253,5
new_fc3.2_three_regs,mnist,fc3rev_h8,8,weight_decay,weight_decay,0.988228,0.009069,0.004056,0.976370,0.010822,5
new_fc3_wd,mnist,fc3rev_h4,4,weight_decay,weight_decay,0.948094,0.052736,0.023584,0.938230,0.051541,5
new_fc3_wd,mnist,fc3rev_h8,8,weight_decay,weight_decay,0.988228,0.009069,0.004056,0.976370,0.010822,5
new_fc3_wd,mnist,fc3rev_h16,16,weight_decay,weight_decay,0.998953,0.000339,0.000152,0.994425,0.001245,5
new_fc3_wd,mnist,fc3rev_h32,32,weight_decay,weight_decay,0.999714,0.000077,0.000034,0.997740,0.000453,5
new_fc3_wd,mnist,fc3rev_h64,64,weight_decay,weight_decay,0.999730,0.000185,0.000083,0.998403,0.000593,5
new_fc3_wd,mnist,fc3rev_h128,128,weight_decay,weight_decay,0.999787,0.000086,0.000038,0.998396,0.000441,5
new_fc3_wd,mnist,fc3rev_h256,256,weight_decay,weight_decay,0.999691,0.000093,0.000042,0.998526,0.000604,5
cnn2_rate_uniform,mnist,cnn2_c2_c4,,weight_decay,weight_decay,0.833739,0.223074,0.099762,0.848155,0.188108,5
cnn2_rate_uniform,mnist,cnn2_c2_c4,,mne_l2,mne_l2,0.993930,0.007427,0.003322,0.986129,0.019662,5
cnn2_rate_uniform,mnist,cnn2_c2_c4,,no_regularization,no_regularization,0.800096,0.304108,0.136001,0.838757,0.230020,5
cnn2_rate_uniform,mnist,cnn2_c4_c8,,weight_decay,weight_decay,0.961883,0.067830,0.030335,0.941773,0.084466,5
cnn2_rate_uniform,mnist,cnn2_c4_c8,,mne_l2,mne_l2,0.999413,0.000179,0.000080,0.999133,0.001317,5
cnn2_rate_uniform,mnist,cnn2_c4_c8,,no_regularization,no_regularization,0.956649,0.046104,0.020618,0.930755,0.071644,5
cnn2_rate_uniform,mnist,cnn2_c8_c16,,weight_decay,weight_decay,0.934328,0.062831,0.028099,0.942251,0.043507,5
cnn2_rate_uniform,mnist,cnn2_c8_c16,,mne_l2,mne_l2,0.998265,0.001849,0.000827,0.992244,0.007253,5
cnn2_rate_uniform,mnist,cnn2_c8_c16,,no_regularization,no_regularization,0.976206,0.041018,0.018344,0.952276,0.062904,5
cnn2_rate_uniform,mnist,cnn2_c16_c32,,weight_decay,weight_decay,0.952639,0.008600,0.003846,0.955197,0.007132,5
cnn2_rate_uniform,mnist,cnn2_c16_c32,,mne_l2,mne_l2,0.999641,0.000168,0.000075,0.997994,0.001139,5
cnn2_rate_uniform,mnist,cnn2_c16_c32,,no_regularization,no_regularization,0.994490,0.002201,0.000984,0.977100,0.007946,5
cifar10_vgg16,cifar10,vgg16,,weight_decay,weight_decay,0.483671,0.046573,0.020828,0.814650,0.027532,5
cifar10_vgg16,cifar10,vgg16,,mne_l2,mne_l2,0.999942,0.000029,0.000013,0.998852,0.000365,5
cifar10_vgg16,cifar10,vgg16,,no_regularization,no_regularization,0.999877,0.000072,0.000032,0.999638,0.000749,5
cifar100_vgg16,cifar100,vgg16,,weight_decay,weight_decay,0.490795,0.022355,0.009998,0.799610,0.026584,5
