site,method,method_label,sigma,n,acc_mean,acc_std
post_input_if,no_reg,No Reg,0,1,81.530000,0.000000
post_input_if,no_reg,No Reg,0.25,1,81.080000,0.000000
post_input_if,no_reg,No Reg,0.5,1,71.896667,0.000000
post_input_if,no_reg,No Reg,1,1,46.196667,0.000000
post_input_if,wd_all_current,WD (all params),0,1,81.710000,0.000000
post_input_if,wd_all_current,WD (all params),0.25,1,75.750000,0.000000
post_input_if,wd_all_current,WD (all params),0.5,1,64.856667,0.000000
post_input_if,wd_all_current,WD (all params),1,1,40.520000,0.000000
post_input_if,wd_weight_only,WD (weights only),0,1,82.190000,0.000000
post_input_if,wd_weight_only,WD (weights only),0.25,1,79.973333,0.000000
post_input_if,wd_weight_only,WD (weights only),0.5,1,66.450000,0.000000
post_input_if,wd_weight_only,WD (weights only),1,1,42.116667,0.000000
