L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,63.470000,63.470000,63.370000,63.370000,63.420000,63.110000,62.770000,61.700000,60.190000,58.250000,54.700000,49.930000,43.580000
