site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,3,82.393333,0.251661
both,l2,L2,0.25,3,69.314444,1.934096
both,l2,L2,0.5,3,28.331111,6.553050
both,no_reg,No Reg,0,3,79.680000,1.414814
both,no_reg,No Reg,0.25,3,67.843333,4.691746
both,no_reg,No Reg,0.5,3,41.898889,11.007877
both,old_detach,MNE-L2,0,3,80.463333,1.783741
both,old_detach,MNE-L2,0.25,3,72.693333,6.378114
both,old_detach,MNE-L2,0.5,3,48.880000,16.170088
both,orthogonal,Orthogonal,0,3,80.376667,1.897744
both,orthogonal,Orthogonal,0.25,3,71.908889,1.874052
both,orthogonal,Orthogonal,0.5,3,48.494444,12.380094
