L,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
16,82.670000,82.590000,82.620000,82.610000,82.790000,82.650000,82.820000,82.550000,82.560000,82.480000,82.510000,82.540000,82.380000,82.220000,81.580000,81.760000,81.800000,81.700000,81.390000,81.670000,81.320000
