site,method,method_label,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
both,old_detach,MNE-L2,81.740000,1,21.253333,60.486667,0.260011,48.679583,0.595542
post_input_if,old_detach,MNE-L2,81.740000,1,47.223333,34.516667,0.577726,68.755000,0.841143
