epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3944043148204189,0.0,0.0,1.0,full,0.13704568147659302,1.8615617752075195,0.0,-2.8030590328853577e-06,,,39.009792418975174,0.019504896209487588,0.6444693839992708,0.03026504701968846,20.316,34.4,1032.2293560504913
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4103122425963507,0.0,0.0,1.0,full,0.1626720428466797,1.835994839668274,0.0,-1.1189753195139929e-06,,,34.086387111960626,0.017043193555980312,0.8663164983303163,0.019673172089909735,31.112,42.16,855.2913463115692
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.41190111842911564,0.0,0.0,1.0,full,0.15349499881267548,1.845122218132019,0.0,3.998448391939746e-06,,,31.201579552794367,0.015600789776397185,0.7423468333362083,0.021015499865857983,37.252,50.18,767.9349830150604
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.43478848059159103,0.0,0.0,1.0,full,0.1796017438173294,1.8188453912734985,0.0,7.766536327835638e-06,,,30.056024278224292,0.015028012139112146,1.2380267771611966,0.012138681017523283,44.238,50.48,692.241627573967
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.43801524991269614,0.0,0.0,1.0,full,0.1924038976430893,1.8059601783752441,0.0,1.0839999049494509e-05,,,29.485751121440956,0.014742875560720478,0.9692717538503585,0.015210260179516759,49.298,60.59,637.3602468967438
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.44724585485580326,0.0,0.0,1.0,full,0.2044101357460022,1.7940815687179565,0.0,1.4143884072836954e-05,,,29.58238396710732,0.014791191983553659,1.1804609389191205,0.012530013908886382,52.636,56.07,601.4172888994217
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4467055733551455,0.0,0.0,1.0,full,0.22599342465400696,1.7725224494934082,0.0,1.6717371181584895e-05,,,30.004786777078817,0.015002393388539408,1.037103803384194,0.014465662298783209,55.32,64.55,575.1871576309204
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4693179992611146,0.0,0.0,1.0,full,0.2485424131155014,1.7498695850372314,0.0,2.2138590793474577e-05,,,30.752204288778625,0.015376102144389312,1.2195538680980087,0.012607972920761235,58.33,65.28,549.3468589782715
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4698993081936751,0.0,0.0,1.0,full,0.27791017293930054,1.7207553386688232,0.0005208333604969084,2.645766107889358e-05,,,31.511742325737664,0.015755871162868834,1.2654125916808034,0.012451173053320783,60.906,72.08,526.5698411464691
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.464103272199021,0.0,0.0,1.0,full,0.3193680942058563,1.6795381307601929,0.0,3.2036543416325e-05,,,32.18705008479358,0.016093525042396792,1.0908015620508258,0.01475385221500711,63.098,69.85,510.9748167991638
10.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.47648285538949015,0.0,0.0,1.0,full,0.3230814039707184,1.6758607625961304,0.0,3.1135343306232244e-05,,,32.79285742517584,0.01639642871258792,1.100176855740552,0.014903448138391479,64.854,73.58,491.9281607866287
11.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.47220695971527976,0.0,0.0,1.0,full,0.3285428285598755,1.670425534248352,0.0005208333604969084,3.578497126000002e-05,,,33.37239244540174,0.016686196222700872,0.9573239033876857,0.017430042395947042,66.262,73.75,484.8664268255234
12.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.48391998157171945,0.0,0.0,1.0,full,0.34031519293785095,1.6587769985198975,0.0,4.013782745460048e-05,,,33.87783232950342,0.01693891616475171,1.2766753367018615,0.01326799044188586,67.076,74.78,478.1156316399574
13.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4814919114417737,0.0,0.0,1.0,full,0.3633023798465729,1.6359498500823975,0.0,3.993610152974725e-05,,,34.357108991632856,0.017178554495816428,1.3009465356798877,0.013204658319673946,68.394,78.03,467.1638506054878
14.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4853053180610432,0.0,0.0,1.0,full,0.37094250321388245,1.6283187866210938,0.0005208333604969084,4.205624645692296e-05,,,34.93169489966429,0.017465847449832147,0.9030181736759416,0.019341634486417285,69.062,65.34,464.422776222229
15.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.48911712587337053,0.0,0.0,1.0,full,0.38033685088157654,1.6190061569213867,0.0,4.468658153200522e-05,,,35.4334216050071,0.01771671080250355,1.2480446852026517,0.014195574094870484,69.658,79.3,459.8760823607445
