sigma,l2_weights_only,calibrated_mne_alpha_0p1,mne_minus_l2
0,86.600000,86.930000,0.330000
0.1,86.240000,86.620000,0.380000
0.2,85.940000,86.060000,0.120000
0.3,84.010000,84.860000,0.850000
0.4,82.060000,82.400000,0.340000
0.5,78.760000,79.780000,1.020000
0.6,73.580000,74.770000,1.190000
0.7,67.280000,68.910000,1.630000
0.8,60.080000,62.250000,2.170000
0.9,52.050000,54.070000,2.020000
1,46.560000,48.060000,1.500000
