dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar100,l2wo,0.25,layer1.6,64,19.99780846387148,25.23658062145114,1.0651876889169216,0.2889354201444566,0.04025652313232422,0.00806871015738036,1.861274618109011e-07,8.525736302635482e-09
cifar100,l2wo,0.25,layer2.2,128,61.538778349757195,57.84320887923241,1.5089880358427763,0.3552646868186656,0.07305297851562499,0.017756091530737466,1.6774723116579073e-07,1.2969220962439453e-08
cifar100,l2wo,0.25,layer2.6,128,34.573266476392746,35.26487262547016,1.0017331205308437,0.43168118841491976,0.07316720275878906,0.016182030907303177,1.2245402797030952e-07,9.39899509560277e-09
cifar100,l2wo,0.25,layer3.2,256,58.01797379553318,40.60150629468262,1.287543206475675,0.24554328030104353,0.045609619140625,0.010025802370993188,8.059132404400481e-08,3.7805571086012725e-09
cifar100,l2wo,0.25,layer3.6,256,32.414817817509174,25.24639803543687,1.0049170330166817,0.3097020573920972,0.051587548828125,0.010824439720832742,7.551970873304058e-08,4.040810888102399e-09
cifar100,l2wo,0.25,layer3.10,256,65.72742894291878,41.8364274520427,1.4832786936312914,0.36431102581345765,0.05159940795898438,0.010734861383168027,7.375107166782135e-08,3.957404492911322e-09
cifar100,l2wo,0.25,layer4.2,512,174.68251064419746,70.4935692474246,4.978813364636153,0.21099471779121243,0.03090233154296875,0.006627932192839216,4.619336676557617e-08,1.4876506497327588e-09
cifar100,l2wo,0.25,layer4.6,512,105.39657343924046,30.869946790859103,2.6133000482805073,0.21423750673868536,0.03889603271484375,0.008081895965669536,1.0653348182696875e-08,4.243772582826911e-10
cifar100,l2wo,0.25,layer4.10,512,35.69671935774386,4.502843159250915,1.0005275798030198,0.16043998489550154,0.053833984375,0.01041775970031158,3.1068381861603517e-09,1.6869914646477785e-10
cifar100,l2wo,0.25,layer5.2,512,54.90544714778662,5.044012132566422,1.0477120033465326,0.24705426282219797,0.0865208984375,0.018017655785824174,6.836435058042192e-09,5.94467895502593e-10
