method,method_label,sigma,n,acc_mean,acc_std
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,1,87.760000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.25,1,86.650000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.5,1,83.040000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.75,1,77.020000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1,1,68.000000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.25,1,60.360000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.5,1,52.980000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.75,1,44.500000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2,1,39.240000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.25,1,34.360000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.5,1,30.880000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.75,1,27.710000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),3,1,25.570000,0.000000
old_detach,Old MNE (detach λ),0,1,87.580000,0.000000
old_detach,Old MNE (detach λ),0.25,1,86.630000,0.000000
old_detach,Old MNE (detach λ),0.5,1,82.820000,0.000000
old_detach,Old MNE (detach λ),0.75,1,77.130000,0.000000
old_detach,Old MNE (detach λ),1,1,67.620000,0.000000
old_detach,Old MNE (detach λ),1.25,1,59.550000,0.000000
old_detach,Old MNE (detach λ),1.5,1,51.290000,0.000000
old_detach,Old MNE (detach λ),1.75,1,43.530000,0.000000
old_detach,Old MNE (detach λ),2,1,37.860000,0.000000
old_detach,Old MNE (detach λ),2.25,1,33.370000,0.000000
old_detach,Old MNE (detach λ),2.5,1,30.150000,0.000000
old_detach,Old MNE (detach λ),2.75,1,26.750000,0.000000
old_detach,Old MNE (detach λ),3,1,25.060000,0.000000
weight_decay,L2-all (all params),0,1,87.860000,0.000000
weight_decay,L2-all (all params),0.25,1,87.080000,0.000000
weight_decay,L2-all (all params),0.5,1,83.820000,0.000000
weight_decay,L2-all (all params),0.75,1,77.260000,0.000000
weight_decay,L2-all (all params),1,1,67.270000,0.000000
weight_decay,L2-all (all params),1.25,1,58.770000,0.000000
weight_decay,L2-all (all params),1.5,1,50.930000,0.000000
weight_decay,L2-all (all params),1.75,1,42.500000,0.000000
weight_decay,L2-all (all params),2,1,36.960000,0.000000
weight_decay,L2-all (all params),2.25,1,32.360000,0.000000
weight_decay,L2-all (all params),2.5,1,28.890000,0.000000
weight_decay,L2-all (all params),2.75,1,26.030000,0.000000
weight_decay,L2-all (all params),3,1,24.460000,0.000000
weight_decay_weights_only,L2-wo (weights only),0,1,87.770000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.25,1,86.660000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.5,1,81.900000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.75,1,74.850000,0.000000
weight_decay_weights_only,L2-wo (weights only),1,1,66.110000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.25,1,58.280000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.5,1,50.890000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.75,1,43.200000,0.000000
weight_decay_weights_only,L2-wo (weights only),2,1,38.150000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.25,1,33.010000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.5,1,29.720000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.75,1,26.620000,0.000000
weight_decay_weights_only,L2-wo (weights only),3,1,24.710000,0.000000
