dataset,dataset_label,method,method_label,n_training_seeds,post_input_if_rms_mean,post_input_if_rms_std,fixed_sigma0p5_snr_db_mean,fixed_sigma0p5_snr_db_std,fixed_noisy_acc_mean,fixed_noisy_acc_std,fixed_drop_mean,fixed_drop_std,matched_6db_noisy_acc_mean,matched_6db_noisy_acc_std,matched_6db_drop_mean,matched_6db_drop_std,matched_0db_noisy_acc_mean,matched_0db_noisy_acc_std,matched_0db_drop_mean,matched_0db_drop_std
mnist,MNIST,old_detach,MNE-L2,5,0.8762414206000001,0.04110610305924678,4.865467118315211,0.40596746261395394,87.40733320000001,11.662700597379287,7.8966668,10.334580539678969,89.21000000000001,9.912673592370982,6.094000000000003,8.591547839236483,74.4656,16.885693080238074,20.838400000000004,15.238944740368346
mnist,MNIST,orthogonal,Orthogonal,5,0.8698281214,0.060519463257091274,4.792490266059005,0.6032536283293227,87.0766666,14.445758274567046,9.8193334,14.488444661219585,89.3393332,12.004520451840909,7.5566667999999995,12.069744455317464,77.4752,18.861772270918767,19.420800000000003,18.888752505128547
mnist,MNIST,no_reg,No Reg,5,0.880216073,0.04556008332272862,4.903076363527699,0.44964065574733825,82.8786666,15.755267984525753,13.2133334,14.844448980922873,85.3146668,14.051638307155194,10.777333199999998,13.14373359149185,69.5716,18.82761181881547,26.520400000000002,17.945080796697457
mnist,MNIST,l2,L2,5,0.7910454544000001,0.052983591776718644,3.9688271341811308,0.5877235507229149,87.6560002,11.610614192352903,8.741999800000002,12.00127085323328,91.332,6.7795717132016895,5.0660000000000025,7.194023195295139,78.1024,17.702656038007405,18.2956,18.17456626167458
fashion_mnist,Fashion,old_detach,MNE-L2,5,1.7780396279999997,0.035574156447200786,11.018026401954316,0.1748549600784096,54.467999999999996,4.550001437240323,20.244,5.189804583882617,32.8326668,2.2481256379729313,41.8793332,3.6668220222845824,16.6928,2.3359523111570577,58.0192,4.905510901017342
fashion_mnist,Fashion,orthogonal,Orthogonal,5,1.7768419439999998,0.03662870075132038,11.012084247353913,0.18043296684618426,53.560666600000005,5.858834033045979,18.557333399999997,8.361238990650717,33.414,2.3028970177679455,38.70399999999999,6.072000298455567,16.6476,2.3929122006458985,55.4704,6.842389261069556
fashion_mnist,Fashion,no_reg,No Reg,5,1.774291852,0.03006002966539738,11.000094821915413,0.14815163080816504,50.5286664,6.089963692484364,20.885333600000003,10.148737536500674,31.1239998,3.2226250951152697,40.290000199999994,7.497115022904925,16.562,3.647498046606742,54.852,7.281675768667539
fashion_mnist,Fashion,l2,L2,5,1.42236242,0.009977258404419032,9.080633657707338,0.06111209171514311,48.8300002,2.494270011780341,26.9259998,4.908842066584201,34.644,2.373696429504938,41.112,5.258552559825228,18.3704,2.8335886786899747,57.3856,5.341903293770857
