dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0,1,90.700000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.05,1,90.650000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.1,1,90.690000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.15,1,90.370000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.2,1,90.360000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.25,1,90.090000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.3,1,89.740000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.35,1,89.000000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.4,1,87.930000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.45,1,86.520000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.5,1,84.980000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.55,1,81.910000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.6,1,78.410000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.65,1,73.660000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.7,1,67.620000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.75,1,60.310000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.8,1,51.430000,0.000000
