L,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1
16,97.530000,97.480000,97.520000,97.490000,97.470000,97.450000,97.540000,97.490000,97.430000,97.430000,97.410000,97.580000,97.410000,97.400000,97.370000,97.480000,97.510000,97.420000,97.340000,97.520000,97.330000,97.330000,97.400000,97.260000,97.260000,97.160000,97.090000,97.180000,97.220000,97.120000,97.060000,97.170000,97.210000,97.030000,97.110000,97.030000,97.230000,96.830000,97.030000,96.970000,97.090000,97.030000,97.140000,96.980000,97.060000,96.800000,96.810000,96.750000,96.900000,96.760000,96.970000
