dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,clean_sigma,clean_acc_mean,clean_acc_std,end_sigma,end_acc_mean,end_acc_std,absolute_drop,relative_retention
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0,90.700000,0.000000,1,21.730000,0.000000,68.970000,0.239581
cifar10,mne_l2_all,mne_l2_plus_residual_l2_all_params,mne_l2_all,0.0001,none,0,89.550000,0.000000,1,80.360000,0.000000,9.190000,0.897376
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,90.500000,0.000000,1,90.320000,0.000000,0.180000,0.998011
