arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h32,mne_l2,42,16,16,0.0,95.36,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.1,95.35,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.2,95.31,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.3,95.37,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.4,95.22,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.5,95.25,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.6,95.28,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.7,95.24,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.8,95.17,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,0.9,95.26,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,42,16,16,1.0,95.22,mnist-checkpoints/fc2_h32_L[16]_strict_seed42_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h32,mne_l2,43,16,16,0.0,94.87,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.1,94.86,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.2,94.72,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.3,94.85,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.4,94.88,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.5,94.78,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.6,94.73,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.7,94.72,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
