arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
cnn2_c4_c8,weight_decay,1.00,79.536000,0.323583,5
cnn2_c4_c8,mne_l2,0.00,81.794000,0.975441,5
cnn2_c4_c8,mne_l2,0.05,81.904000,0.967805,5
cnn2_c4_c8,mne_l2,0.10,81.798000,0.964668,5
cnn2_c4_c8,mne_l2,0.15,81.686000,0.978461,5
cnn2_c4_c8,mne_l2,0.20,81.732000,0.972257,5
cnn2_c4_c8,mne_l2,0.25,81.682000,0.991869,5
cnn2_c4_c8,mne_l2,0.30,81.696000,1.029668,5
cnn2_c4_c8,mne_l2,0.35,81.704000,1.052984,5
cnn2_c4_c8,mne_l2,0.40,81.770000,1.043988,5
cnn2_c4_c8,mne_l2,0.45,81.604000,1.070073,5
cnn2_c4_c8,mne_l2,0.50,81.746000,1.002550,5
cnn2_c4_c8,mne_l2,0.55,81.464000,0.987475,5
cnn2_c4_c8,mne_l2,0.60,81.576000,1.093346,5
cnn2_c4_c8,mne_l2,0.65,81.700000,1.096225,5
cnn2_c4_c8,mne_l2,0.70,81.298000,1.103397,5
cnn2_c4_c8,mne_l2,0.75,81.432000,1.120694,5
cnn2_c4_c8,mne_l2,0.80,81.568000,1.140633,5
cnn2_c4_c8,mne_l2,0.85,81.590000,1.104649,5
cnn2_c4_c8,mne_l2,0.90,81.398000,1.075637,5
cnn2_c4_c8,mne_l2,0.95,81.426000,1.018227,5
cnn2_c4_c8,mne_l2,1.00,81.466000,1.065226,5
cnn2_c4_c8,no_regularization,0.00,85.898000,0.273192,5
cnn2_c4_c8,no_regularization,0.05,85.886000,0.288801,5
cnn2_c4_c8,no_regularization,0.10,85.748000,0.276141,5
cnn2_c4_c8,no_regularization,0.15,85.530000,0.303513,5
cnn2_c4_c8,no_regularization,0.20,85.244000,0.306571,5
cnn2_c4_c8,no_regularization,0.25,84.982000,0.391119,5
cnn2_c4_c8,no_regularization,0.30,84.476000,0.373826,5
cnn2_c4_c8,no_regularization,0.35,84.118000,0.405936,5
cnn2_c4_c8,no_regularization,0.40,83.550000,0.466712,5
cnn2_c4_c8,no_regularization,0.45,83.350000,0.508753,5
cnn2_c4_c8,no_regularization,0.50,83.012000,0.479639,5
cnn2_c4_c8,no_regularization,0.55,82.682000,0.530654,5
cnn2_c4_c8,no_regularization,0.60,82.228000,0.565565,5
cnn2_c4_c8,no_regularization,0.65,81.946000,0.617370,5
cnn2_c4_c8,no_regularization,0.70,81.558000,0.679760,5
cnn2_c4_c8,no_regularization,0.75,81.382000,0.591299,5
cnn2_c4_c8,no_regularization,0.80,80.880000,0.554211,5
cnn2_c4_c8,no_regularization,0.85,80.594000,0.687522,5
cnn2_c4_c8,no_regularization,0.90,80.316000,0.601694,5
cnn2_c4_c8,no_regularization,0.95,79.842000,0.588043,5
cnn2_c4_c8,no_regularization,1.00,79.610000,0.625132,5
cnn2_c8_c16,weight_decay,0.00,88.196000,0.138550,5
cnn2_c8_c16,weight_decay,0.05,88.110000,0.139571,5
cnn2_c8_c16,weight_decay,0.10,87.962000,0.143819,5
cnn2_c8_c16,weight_decay,0.15,87.698000,0.210319,5
cnn2_c8_c16,weight_decay,0.20,87.448000,0.216988,5
cnn2_c8_c16,weight_decay,0.25,87.250000,0.303809,5
cnn2_c8_c16,weight_decay,0.30,86.830000,0.230282,5
cnn2_c8_c16,weight_decay,0.35,86.214000,0.269603,5
cnn2_c8_c16,weight_decay,0.40,85.868000,0.281308,5
cnn2_c8_c16,weight_decay,0.45,85.466000,0.267313,5
cnn2_c8_c16,weight_decay,0.50,85.056000,0.260895,5
cnn2_c8_c16,weight_decay,0.55,84.492000,0.221368,5
cnn2_c8_c16,weight_decay,0.60,83.978000,0.265168,5
cnn2_c8_c16,weight_decay,0.65,83.472000,0.255409,5
cnn2_c8_c16,weight_decay,0.70,83.276000,0.273159,5
cnn2_c8_c16,weight_decay,0.75,82.872000,0.260181,5
cnn2_c8_c16,weight_decay,0.80,82.274000,0.221576,5
cnn2_c8_c16,weight_decay,0.85,81.830000,0.273185,5
cnn2_c8_c16,weight_decay,0.90,81.462000,0.224575,5
cnn2_c8_c16,weight_decay,0.95,80.904000,0.360161,5
cnn2_c8_c16,weight_decay,1.00,80.334000,0.342208,5
