dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0,1,89.850000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.05,1,89.820000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.1,1,89.860000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.15,1,89.860000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.2,1,89.730000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.25,1,89.730000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.3,1,89.860000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.35,1,89.630000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.4,1,89.750000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.45,1,89.750000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.5,1,89.660000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.55,1,89.720000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.6,1,89.570000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.65,1,89.690000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.7,1,89.610000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.75,1,89.500000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.8,1,89.440000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.85,1,89.530000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.9,1,89.440000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,0.95,1,89.230000,0.000000
cifar10,l1_all,l1_all_parameters_rc1e-5,l1_all,1e-05,none,1,1,89.270000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0,1,90.700000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.05,1,90.650000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.1,1,90.690000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.15,1,90.370000,0.000000
cifar10,manual_l2_all,manual_l2_all_parameters,manual_l2_all,0.00025,none,0.2,1,90.360000,0.000000
