method,sigma,acc
conv_mne_l2_no_detach,0.76,82.580000
conv_mne_l2_no_detach,0.78,82.820000
conv_mne_l2_no_detach,0.80,82.440000
conv_mne_l2_no_detach,0.82,82.450000
conv_mne_l2_no_detach,0.84,82.290000
conv_mne_l2_no_detach,0.86,81.520000
conv_mne_l2_no_detach,0.88,81.960000
conv_mne_l2_no_detach,0.90,81.700000
conv_mne_l2_no_detach,0.92,81.570000
conv_mne_l2_no_detach,0.94,81.560000
conv_mne_l2_no_detach,0.96,81.390000
conv_mne_l2_no_detach,0.98,81.040000
conv_mne_l2_no_detach,1.00,81.170000
