method,target_acc,sigma_hit,acc_at_hit
weight_decay,90.0,0.04,84.060000
mne_l2,90.0,0.00,87.570000
no_regularization,90.0,0.04,76.990000
conv_mne_l2_no_detach,90.0,0.00,86.140000
