method,checkpoint,train_ann_acc,val_ann_acc,test_ann_acc,train_val_gap,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median,snn_sigma0_acc,snn_sigma0_std,snn_sigma1_acc,snn_sigma1_std,snn_drop,best_epoch
weights_only,best_val,91.054,88.46,87.69,2.5940000000000083,19,7.856165885925293,7.615478515625,7.927004814147949,1.0644152164459229,1.06586754322052,1.0617270469665527,83.88,0.0,51.93,0.13228756555322874,31.949999999999996,27
weights_only,final,91.172,88.11,87.56,3.0619999999999976,19,7.8557515144348145,7.614427089691162,7.926748752593994,1.0646458864212036,1.0660996437072754,1.061859369277954,83.73,0.0,52.026666666666664,0.13203534880225815,31.70333333333334,27
all_parameters,best_val,91.434,88.85,87.98,2.584000000000003,19,6.726365566253662,6.4535675048828125,6.806971073150635,0.9296281337738037,0.9310986399650574,0.9245461821556091,84.66,0.0,45.883333333333326,0.29022979401387167,38.77666666666667,27
all_parameters,final,91.446,88.51,87.85,2.935999999999993,19,6.723377227783203,6.449721336364746,6.8041887283325195,0.9295339584350586,0.9310099482536316,0.9243226647377014,85.13,0.0,45.88666666666666,0.32715949219506674,39.24333333333333,27
