method,checkpoint,parameter_type,layer,value
all_parameters,best_val,lambda,ifs.6,6.731097221374512
all_parameters,best_val,lambda,ifs.7,6.7417893409729
all_parameters,best_val,lambda,ifs.8,6.740635871887207
all_parameters,best_val,lambda,ifs.9,6.754940986633301
all_parameters,best_val,lambda,ifs.10,6.741981506347656
all_parameters,best_val,lambda,ifs.11,6.737245559692383
all_parameters,best_val,lambda,ifs.12,6.631626605987549
all_parameters,best_val,lambda,ifs.13,6.650274276733398
all_parameters,best_val,lambda,ifs.14,6.659948348999023
all_parameters,best_val,lambda,ifs.15,6.68968391418457
all_parameters,best_val,lambda,ifs.16,6.727308750152588
all_parameters,best_val,lambda,ifs.17,6.800498962402344
all_parameters,final,lambda,input_if,6.449721336364746
all_parameters,final,gamma_rms,bns.0,0.9207195043563843
all_parameters,final,gamma_rms,bns.1,0.974696695804596
all_parameters,final,gamma_rms,bns.2,0.9432561993598938
all_parameters,final,gamma_rms,bns.3,0.9241133332252502
all_parameters,final,gamma_rms,bns.4,0.9287229776382446
all_parameters,final,gamma_rms,bns.5,0.9355987310409546
all_parameters,final,gamma_rms,bns.6,0.9250195026397705
all_parameters,final,gamma_rms,bns.7,0.9213541746139526
all_parameters,final,gamma_rms,bns.8,0.9227086901664734
all_parameters,final,gamma_rms,bns.9,0.9166945219039917
all_parameters,final,gamma_rms,bns.10,0.9220476746559143
all_parameters,final,gamma_rms,bns.11,0.9273370504379272
all_parameters,final,gamma_rms,bns.12,0.9349574446678162
all_parameters,final,gamma_rms,bns.13,0.9290805459022522
all_parameters,final,gamma_rms,bns.14,0.9268065690994263
all_parameters,final,gamma_rms,bns.15,0.9186164736747742
all_parameters,final,gamma_rms,bns.16,0.9073830842971802
all_parameters,final,gamma_rms,bns.17,0.9868115782737732
all_parameters,final,lambda,ifs.0,6.8041887283325195
all_parameters,final,lambda,ifs.1,6.74263858795166
all_parameters,final,lambda,ifs.2,6.781373500823975
all_parameters,final,lambda,ifs.3,6.802806854248047
all_parameters,final,lambda,ifs.4,6.79781436920166
all_parameters,final,lambda,ifs.5,6.794728755950928
all_parameters,final,lambda,ifs.6,6.728153228759766
all_parameters,final,lambda,ifs.7,6.7388787269592285
all_parameters,final,lambda,ifs.8,6.737717628479004
all_parameters,final,lambda,ifs.9,6.752000331878662
all_parameters,final,lambda,ifs.10,6.739028453826904
all_parameters,final,lambda,ifs.11,6.734274864196777
all_parameters,final,lambda,ifs.12,6.628323078155518
all_parameters,final,lambda,ifs.13,6.64702033996582
all_parameters,final,lambda,ifs.14,6.656764507293701
all_parameters,final,lambda,ifs.15,6.686646938323975
all_parameters,final,lambda,ifs.16,6.724316596984863
all_parameters,final,lambda,ifs.17,6.797781944274902
