dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,34.850000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,34.790000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,34.820000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,34.910000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,34.930000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,35.050000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,34.800000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,34.620000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,34.730000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,34.610000,0.000000
cifar10,old_detach,MNE-standard,1,1,34.810000,0.000000
