method,scale_mode,level_name,actual_sigma,n_repeats,acc_mean,acc_std
Weights-only,snr,snr_20dB,0.049855,5,91.130000,0.052440
Weights-only,snr,snr_15dB,0.088657,5,91.088000,0.057184
Weights-only,snr,snr_10dB,0.157657,5,91.136000,0.073689
Weights-only,snr,snr_5dB,0.280358,5,91.054000,0.058992
Weights-only,snr,snr_0dB,0.498555,5,91.048000,0.085264
Weights-only,absolute,sigma_0,0.000000,1,91.170000,0.000000
Weights-only,absolute,sigma_0.25,0.250000,5,91.098000,0.035637
Weights-only,absolute,sigma_0.5,0.500000,5,91.116000,0.067676
Weights-only,absolute,sigma_0.75,0.750000,5,90.942000,0.068702
Weights-only,absolute,sigma_1,1.000000,5,90.802000,0.180748
Weights-only,lambda_relative,alpha_0,0.000000,1,91.170000,0.000000
Weights-only,lambda_relative,alpha_0.05,0.050623,5,91.096000,0.032094
Weights-only,lambda_relative,alpha_0.1,0.101246,5,91.102000,0.035637
Weights-only,lambda_relative,alpha_0.2,0.202492,5,91.128000,0.044385
Weights-only,lambda_relative,alpha_0.3,0.303738,5,91.144000,0.024083
Weights-only,lambda_relative,alpha_0.5,0.506231,5,91.104000,0.077006
Weights-only,lambda_relative,alpha_1,1.012460,5,90.792000,0.108950
Weights-only,activation_relative,alpha_0,0.000000,1,91.170000,0.000000
Weights-only,activation_relative,alpha_0.05,0.024928,5,91.130000,0.057879
Weights-only,activation_relative,alpha_0.1,0.049855,5,91.138000,0.043818
Weights-only,activation_relative,alpha_0.2,0.099711,5,91.130000,0.025495
Weights-only,activation_relative,alpha_0.3,0.149566,5,91.104000,0.031305
Weights-only,activation_relative,alpha_0.5,0.249277,5,91.066000,0.059414
Weights-only,activation_relative,alpha_1,0.498555,5,91.116000,0.063875
Weights+BN-gamma,snr,clean,0.000000,1,90.970000,0.000000
Weights+BN-gamma,snr,snr_30dB,0.003238,5,91.028000,0.025884
Weights+BN-gamma,snr,snr_20dB,0.010240,5,91.014000,0.041593
Weights+BN-gamma,snr,snr_15dB,0.018211,5,90.984000,0.037815
Weights+BN-gamma,snr,snr_10dB,0.032383,5,90.944000,0.049295
Weights+BN-gamma,snr,snr_5dB,0.057587,5,90.958000,0.038987
Weights+BN-gamma,snr,snr_0dB,0.102405,5,90.866000,0.080187
Weights+BN-gamma,absolute,sigma_0,0.000000,1,90.970000,0.000000
