depth,n_lambda,weights_val_acc,all_val_acc,delta_val_acc,weights_test_acc,all_test_acc,delta_test_acc,weights_train_val_gap,all_train_val_gap,delta_train_val_gap,weights_snn_sigma0,all_snn_sigma0,delta_snn_sigma0,weights_snn_sigma1,all_snn_sigma1,delta_snn_sigma1,weights_snn_drop,all_snn_drop,delta_snn_drop,weights_lambda_mean,all_lambda_mean,delta_lambda_mean,weights_gamma_abs_mean,all_gamma_abs_mean
6,7,88.92,89.37,0.45000000000000284,87.86,88.31,0.45000000000000284,3.2680000000000007,2.833999999999989,-0.4340000000000117,86.0,87.5,1.5,47.096666666666664,48.32,1.2233333333333363,38.903333333333336,39.18,0.27666666666666373,7.738189697265625,6.622375965118408,-1.1158137321472168,1.1550313234329224,1.0226757526397705
9,10,88.41,88.89,0.480000000000004,88.12,88.41,0.28999999999999204,3.603999999999999,3.2879999999999967,-0.3160000000000025,85.12,84.83,-0.29000000000000625,33.27,35.443333333333335,2.173333333333332,51.85,49.38666666666666,-2.4633333333333383,7.765629768371582,6.653057098388672,-1.1125726699829102,1.1220703125,0.9816393256187439
12,13,89.29,89.58,0.28999999999999204,88.17,88.56,0.39000000000000057,3.333999999999989,3.0900000000000034,-0.24399999999998556,87.16,86.11,-1.0499999999999972,53.843333333333334,56.15,2.306666666666665,33.31666666666666,29.96,-3.356666666666662,7.787971496582031,6.669275760650635,-1.1186957359313965,1.1016225814819336,0.9627177715301514
15,16,88.61,89.14,0.5300000000000011,87.74,88.05,0.3100000000000023,2.721999999999994,2.3499999999999943,-0.3719999999999999,84.82,85.47,0.6500000000000057,55.196666666666665,49.38666666666666,-5.810000000000002,29.623333333333328,36.083333333333336,6.460000000000008,7.840232849121094,6.712271690368652,-1.1279611587524414,1.0731934309005737,0.9399760961532593
18,19,88.46,88.85,0.39000000000000057,87.69,87.98,0.29000000000000625,2.5940000000000083,2.584000000000003,-0.010000000000005116,83.88,84.66,0.7800000000000011,51.93,45.883333333333326,-6.046666666666674,31.949999999999996,38.77666666666667,6.826666666666675,7.856165885925293,6.726365566253662,-1.1298003196716309,1.0644152164459229,0.9296281337738037
