dataset,method,method_label,seed,L,T,parameters,fp32_param_kib,n_samples,accuracy,if_firing_density,ann_dense_macs_per_sample,snn_dense_ops_per_sample,event_synops_per_sample,event_synops_per_ann_mac,checkpoint
mnist,orthogonal,Orthogonal,43,16,8,2081,8.12890625,1024,96.09375,0.08402602526606345,30184.0,241472.0,30845.01171875,1.0218994075917704,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,orthogonal,Orthogonal,43,16,16,2081,8.12890625,1024,95.99609375,0.08477855215267259,30184.0,482944.0,63143.91796875,2.0919665375281604,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,orthogonal,Orthogonal,44,16,4,2081,8.12890625,1024,97.0703125,0.0691715941137197,30184.0,120736.0,13169.8125,0.43631766830108665,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed44_ep30_L16_trainT0.pth
mnist,orthogonal,Orthogonal,44,16,8,2081,8.12890625,1024,97.265625,0.06898615311603157,30184.0,241472.0,26734.345703125,0.8857124868514776,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed44_ep30_L16_trainT0.pth
mnist,orthogonal,Orthogonal,44,16,16,2081,8.12890625,1024,96.77734375,0.06968875807158802,30184.0,482944.0,54823.208984375,1.8163003241576663,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed44_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,40,16,4,2081,8.12890625,1024,95.41015625,0.2509359242964764,30184.0,120736.0,31412.6015625,1.0407037358368671,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,40,16,8,2081,8.12890625,1024,96.875,0.23118135880450813,30184.0,241472.0,59759.2890625,1.9798333243605883,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,40,16,16,2081,8.12890625,1024,95.3125,0.23244964833162268,30184.0,482944.0,121885.513671875,4.0380835433300755,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,41,16,4,2081,8.12890625,1024,92.28515625,0.16154947086256377,30184.0,120736.0,22560.37890625,0.7474284026719454,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,41,16,8,2081,8.12890625,1024,93.65234375,0.16543189846739478,30184.0,241472.0,46960.798828125,1.555817612911642,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,41,16,16,2081,8.12890625,1024,92.1875,0.18411478704335738,30184.0,482944.0,102834.76171875,3.406929556014776,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,42,16,4,2081,8.12890625,1024,94.82421875,0.11079476804149394,30184.0,120736.0,16916.0078125,0.5604296253809966,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
