dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0,0,20300801,96.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.25,0,20300901,94.600000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.25,1,20300902,94.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.25,2,20300903,94.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.5,0,20301001,64.760000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.5,1,20301002,64.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0.5,2,20301003,64.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0,0,20301801,93.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.25,0,20301901,71.090000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.25,1,20301902,71.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.25,2,20301903,71.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.5,0,20302001,46.640000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.5,1,20302002,46.520000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,41,16,4,both,0.5,2,20302003,46.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0,0,20301801,94.580000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.25,0,20301901,70.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.25,1,20301902,71.240000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.25,2,20301903,70.770000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.5,0,20302001,45.760000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.5,1,20302002,46.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,41,16,4,both,0.5,2,20302003,45.810000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0,0,20301801,97.060000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.25,0,20301901,54.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.25,1,20301902,54.240000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.25,2,20301903,54.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.5,0,20302001,16.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.5,1,20302002,16.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,41,16,4,both,0.5,2,20302003,17.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0,0,20301801,97.030000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.25,0,20301901,75.050000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.25,1,20301902,75.010000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.25,2,20301903,75.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.5,0,20302001,48.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
