site,method,method_label,sigma,n,acc_mean,acc_std
post_if1,l1_all,L1 (all params),0,3,82.496667,1.134431
post_if1,l1_all,L1 (all params),0.25,3,79.503333,1.324588
post_if1,l1_all,L1 (all params),0.5,3,70.828889,5.265934
post_if1,l1_all,L1 (all params),1,3,46.740000,18.864864
post_if1,no_reg_current,No Reg,0,3,82.766667,0.625486
post_if1,no_reg_current,No Reg,0.25,3,79.356667,1.377062
post_if1,no_reg_current,No Reg,0.5,3,70.126667,4.706599
post_if1,no_reg_current,No Reg,1,3,44.827778,17.948037
post_if1,old_detach_current,MNE-L2,0,3,82.770000,0.726430
post_if1,old_detach_current,MNE-L2,0.25,3,80.244444,1.766762
post_if1,old_detach_current,MNE-L2,0.5,3,72.063333,4.813288
post_if1,old_detach_current,MNE-L2,1,3,47.423333,17.233253
post_if1,wd_weight_only,WD (weights only),0,3,82.890000,0.648383
post_if1,wd_weight_only,WD (weights only),0.25,3,79.718889,1.904160
post_if1,wd_weight_only,WD (weights only),0.5,3,70.278889,6.962523
post_if1,wd_weight_only,WD (weights only),1,3,43.355556,17.932969
