arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.1,96.84,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.2,96.83,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.3,96.69,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.4,96.78,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.5,96.67,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.6,96.82,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.7,96.4,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.8,96.53,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,0.9,96.3,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,41,16,16,rate_uniform,1.0,96.21,mnist-checkpoints/fc3_h32_L[16]_strict_seed41_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_41/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3_h32,32,weight_decay,42,16,16,rate_uniform,0.0,97.6,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_42/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3_h32,32,weight_decay,42,16,16,rate_uniform,0.1,97.58,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_42/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3_h32,32,weight_decay,42,16,16,rate_uniform,0.2,97.55,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_42/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3_h32,32,weight_decay,42,16,16,rate_uniform,0.3,97.41,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_42/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3_h32,32,weight_decay,42,16,16,rate_uniform,0.4,97.46,mnist-checkpoints/fc3_h32_L[16]_strict_seed42_ablation_wd_l16_fc3_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h32/weight_decay/seed_42/noise_sweep_matrix_mnist_fc3_h32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
