arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h16,16,weight_decay,0.0,93.966000,1.360599,5
fc3_h16,16,weight_decay,0.1,93.862000,1.284667,5
fc3_h16,16,weight_decay,0.2,93.702000,1.438374,5
fc3_h16,16,weight_decay,0.3,93.430000,1.478479,5
fc3_h16,16,weight_decay,0.4,93.148000,1.522931,5
fc3_h16,16,weight_decay,0.5,92.832000,1.718930,5
fc3_h16,16,weight_decay,0.6,92.128000,2.034065,5
fc3_h16,16,weight_decay,0.7,91.624000,2.220964,5
fc3_h16,16,weight_decay,0.8,90.694000,2.448261,5
fc3_h16,16,weight_decay,0.9,89.608000,3.032750,5
fc3_h16,16,weight_decay,1.0,88.496000,3.203979,5
fc3_h16,16,no_regularization,0.0,93.326000,0.778351,5
fc3_h16,16,no_regularization,0.1,93.062000,0.857012,5
fc3_h16,16,no_regularization,0.2,92.216000,1.219541,5
fc3_h16,16,no_regularization,0.3,90.956000,1.913473,5
fc3_h16,16,no_regularization,0.4,89.096000,2.527732,5
fc3_h16,16,no_regularization,0.5,86.444000,3.607233,5
fc3_h16,16,no_regularization,0.6,83.476000,4.572967,5
fc3_h16,16,no_regularization,0.7,80.290000,5.960214,5
fc3_h16,16,no_regularization,0.8,76.756000,6.857436,5
fc3_h16,16,no_regularization,0.9,73.668000,7.400738,5
fc3_h16,16,no_regularization,1.0,70.122000,8.146019,5
fc3_h16,16,mne_l2_wd,0.0,93.826000,1.075584,5
fc3_h16,16,mne_l2_wd,0.1,93.774000,1.078647,5
fc3_h16,16,mne_l2_wd,0.2,93.744000,1.076908,5
fc3_h16,16,mne_l2_wd,0.3,93.666000,1.047034,5
fc3_h16,16,mne_l2_wd,0.4,93.596000,1.092122,5
fc3_h16,16,mne_l2_wd,0.5,93.690000,1.081873,5
fc3_h16,16,mne_l2_wd,0.6,93.522000,1.145151,5
fc3_h16,16,mne_l2_wd,0.7,93.498000,1.239625,5
fc3_h16,16,mne_l2_wd,0.8,93.530000,1.127453,5
fc3_h16,16,mne_l2_wd,0.9,93.390000,1.132586,5
fc3_h16,16,mne_l2_wd,1.0,93.402000,1.205599,5
fc3_h32,32,mne_l2,0.0,96.572000,0.240354,5
fc3_h32,32,mne_l2,0.1,96.542000,0.227420,5
