dataset,method,seed,corruption,severity,accuracy,n_samples
cifar100,mne,42,clean,0,59.560000,10000
cifar100,mne,42,gaussian_noise,1,42.430000,10000
cifar100,mne,42,gaussian_noise,2,26.610000,10000
cifar100,mne,42,gaussian_noise,3,16.510000,10000
cifar100,mne,42,gaussian_noise,4,12.920000,10000
cifar100,mne,42,gaussian_noise,5,10.820000,10000
cifar100,mne,42,shot_noise,1,49.420000,10000
cifar100,mne,42,shot_noise,2,39.770000,10000
cifar100,mne,42,shot_noise,3,22.730000,10000
cifar100,mne,42,shot_noise,4,18.040000,10000
cifar100,mne,42,shot_noise,5,13.000000,10000
cifar100,mne,42,impulse_noise,1,55.910000,10000
cifar100,mne,42,impulse_noise,2,48.430000,10000
cifar100,mne,42,impulse_noise,3,38.280000,10000
cifar100,mne,42,impulse_noise,4,19.880000,10000
cifar100,mne,42,impulse_noise,5,10.440000,10000
cifar100,mne,42,defocus_blur,1,59.310000,10000
cifar100,mne,42,defocus_blur,2,56.290000,10000
cifar100,mne,42,defocus_blur,3,51.240000,10000
cifar100,mne,42,defocus_blur,4,45.270000,10000
cifar100,mne,42,defocus_blur,5,33.910000,10000
cifar100,mne,42,glass_blur,1,22.780000,10000
cifar100,mne,42,glass_blur,2,24.930000,10000
cifar100,mne,42,glass_blur,3,29.220000,10000
cifar100,mne,42,glass_blur,4,16.710000,10000
cifar100,mne,42,glass_blur,5,19.690000,10000
cifar100,mne,42,motion_blur,1,52.130000,10000
cifar100,mne,42,motion_blur,2,44.710000,10000
cifar100,mne,42,motion_blur,3,37.460000,10000
cifar100,mne,42,motion_blur,4,37.630000,10000
cifar100,mne,42,motion_blur,5,31.520000,10000
cifar100,mne,42,zoom_blur,1,50.970000,10000
cifar100,mne,42,zoom_blur,2,49.210000,10000
cifar100,mne,42,zoom_blur,3,46.100000,10000
cifar100,mne,42,zoom_blur,4,43.410000,10000
cifar100,mne,42,zoom_blur,5,38.320000,10000
cifar100,mne,42,snow,1,54.440000,10000
cifar100,mne,42,snow,2,37.970000,10000
cifar100,mne,42,snow,3,43.810000,10000
cifar100,mne,42,snow,4,41.150000,10000
cifar100,mne,42,snow,5,33.890000,10000
cifar100,mne,42,frost,1,51.950000,10000
cifar100,mne,42,frost,2,44.640000,10000
cifar100,mne,42,frost,3,34.320000,10000
cifar100,mne,42,frost,4,32.030000,10000
cifar100,mne,42,frost,5,24.070000,10000
cifar100,mne,42,fog,1,58.340000,10000
cifar100,mne,42,fog,2,54.710000,10000
cifar100,mne,42,fog,3,50.060000,10000
cifar100,mne,42,fog,4,42.050000,10000
cifar100,mne,42,fog,5,26.090000,10000
cifar100,mne,42,brightness,1,59.610000,10000
cifar100,mne,42,brightness,2,58.820000,10000
cifar100,mne,42,brightness,3,58.030000,10000
cifar100,mne,42,brightness,4,57.000000,10000
cifar100,mne,42,brightness,5,53.570000,10000
cifar100,mne,42,contrast,1,57.370000,10000
cifar100,mne,42,contrast,2,51.050000,10000
cifar100,mne,42,contrast,3,46.440000,10000
cifar100,mne,42,contrast,4,39.760000,10000
cifar100,mne,42,contrast,5,19.210000,10000
cifar100,mne,42,elastic_transform,1,52.130000,10000
cifar100,mne,42,elastic_transform,2,52.450000,10000
cifar100,mne,42,elastic_transform,3,49.740000,10000
cifar100,mne,42,elastic_transform,4,46.780000,10000
cifar100,mne,42,elastic_transform,5,43.790000,10000
cifar100,mne,42,pixelate,1,57.640000,10000
cifar100,mne,42,pixelate,2,52.230000,10000
cifar100,mne,42,pixelate,3,47.950000,10000
cifar100,mne,42,pixelate,4,32.000000,10000
cifar100,mne,42,pixelate,5,16.940000,10000
cifar100,mne,42,jpeg_compression,1,53.520000,10000
cifar100,mne,42,jpeg_compression,2,50.060000,10000
cifar100,mne,42,jpeg_compression,3,49.030000,10000
cifar100,mne,42,jpeg_compression,4,47.760000,10000
cifar100,mne,42,jpeg_compression,5,46.080000,10000
