method,sigma,acc
conv_mne_l2_no_detach,0.76,98.810000
conv_mne_l2_no_detach,0.78,98.820000
conv_mne_l2_no_detach,0.80,98.850000
conv_mne_l2_no_detach,0.82,98.710000
conv_mne_l2_no_detach,0.84,98.670000
conv_mne_l2_no_detach,0.86,98.770000
conv_mne_l2_no_detach,0.88,98.660000
conv_mne_l2_no_detach,0.90,98.780000
conv_mne_l2_no_detach,0.92,98.750000
conv_mne_l2_no_detach,0.94,98.600000
conv_mne_l2_no_detach,0.96,98.680000
conv_mne_l2_no_detach,0.98,98.470000
conv_mne_l2_no_detach,1.00,98.570000
