model,method,method_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cnn2,l2,l2_wd0p0005,weight_decay,none,0,3,82.953333,1.345598
cnn2,l2,l2_wd0p0005,weight_decay,none,1,3,46.046667,6.180043
cnn2,no_reg,no_regularization,weight_decay,none,0,3,82.656667,1.002464
cnn2,no_reg,no_regularization,weight_decay,none,1,3,53.296667,6.935015
cnn2,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,3,82.656667,0.833807
cnn2,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,3,55.043333,7.233992
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,3,82.656667,0.817945
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,3,54.836667,10.617803
cnn2_c4_c8,l2,l2_wd0p0005,weight_decay,none,0,3,85.746667,0.834825
cnn2_c4_c8,l2,l2_wd0p0005,weight_decay,none,1,3,52.720000,4.438964
cnn2_c4_c8,no_reg,no_regularization,weight_decay,none,0,3,85.353333,0.938314
cnn2_c4_c8,no_reg,no_regularization,weight_decay,none,1,3,57.460000,7.185284
cnn2_c4_c8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,3,85.286667,0.571343
cnn2_c4_c8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,3,62.083333,3.009358
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,3,85.286667,0.928134
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,3,62.596667,2.218137
fc3_h256,l2,l2_wd0p0005,weight_decay,none,0,3,87.566667,0.181475
fc3_h256,l2,l2_wd0p0005,weight_decay,none,1,3,84.686667,0.115902
fc3_h256,no_reg,no_regularization,weight_decay,none,0,3,86.853333,0.077675
fc3_h256,no_reg,no_regularization,weight_decay,none,1,3,83.640000,0.213776
fc3_h256,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,3,86.913333,0.181475
fc3_h256,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,3,83.760000,0.177764
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,3,86.766667,0.156950
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,3,83.700000,0.285132
fc3_h8,l2,l2_wd0p0005,weight_decay,none,0,3,80.823333,0.826579
fc3_h8,l2,l2_wd0p0005,weight_decay,none,1,3,76.800000,0.773111
fc3_h8,no_reg,no_regularization,weight_decay,none,0,3,80.753333,0.366106
fc3_h8,no_reg,no_regularization,weight_decay,none,1,3,76.586667,0.222785
fc3_h8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,3,80.613333,0.531256
fc3_h8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,3,76.310000,0.891459
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,0,3,80.446667,0.623244
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,1,3,76.030000,0.909010
