L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,62.270000,62.200000,58.360000,40.790000,15.250000,4.780000,2.340000,1.910000,1.670000,1.520000,1.360000,1.290000,1.120000
