L,T,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,16,28.000000,21.970000,17.360000,13.910000,11.180000,8.940000,7.730000,6.430000,5.500000,4.940000,4.380000,3.770000,3.550000,3.210000,2.910000,2.640000,2.570000
