site,method,method_label,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
both,l2,L2,88.210000,1,27.080000,61.130000,0.306995,64.241250,0.728276
both,l2_sp,L2-SP,87.110000,1,48.510000,38.600000,0.556882,74.845000,0.859201
both,old_detach,MNE-L2,87.460000,1,46.130000,41.330000,0.527441,73.853750,0.844429
post_if1,l2,L2,88.210000,1,61.920000,26.290000,0.701961,76.996250,0.872874
post_if1,l2_sp,L2-SP,87.110000,1,78.950000,8.160000,0.906325,83.772500,0.961686
post_if1,old_detach,MNE-L2,87.460000,1,77.270000,10.190000,0.883490,83.728750,0.957338
post_input_if,l2,L2,88.210000,1,55.550000,32.660000,0.629747,77.350000,0.876885
post_input_if,l2_sp,L2-SP,87.110000,1,70.810000,16.300000,0.812880,81.720000,0.938124
post_input_if,old_detach,MNE-L2,87.460000,1,69.330000,18.130000,0.792705,81.536250,0.932269
