model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_input_if,0.75,20300804,78.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_input_if,1,20300805,70.810000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_if1,0,20300801,87.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_if1,0.25,20300802,86.060000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_if1,0.5,20300803,84.010000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_if1,0.75,20300804,81.990000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,post_if1,1,20300805,78.950000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0,20300801,87.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0.25,20300802,84.080000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0.5,20300803,79.050000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0.75,20300804,68.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,1,20300805,48.510000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_input_if,0,20300801,88.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_input_if,0.25,20300802,85.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_input_if,0.5,20300803,80.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_input_if,0.75,20300804,71.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_input_if,1,20300805,55.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_if1,0,20300801,88.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_if1,0.25,20300802,84.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_if1,0.5,20300803,77.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_if1,0.75,20300804,70.430000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,post_if1,1,20300805,61.920000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0,20300801,88.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0.25,20300802,80.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0.5,20300803,68.690000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0.75,20300804,49.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,1,20300805,27.080000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
