dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,1,1,20303102,35.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,1,2,20303103,35.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0,0,20302801,81.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.25,0,20302901,73.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.25,1,20302902,73.850000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.25,2,20302903,73.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.5,0,20303001,46.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.5,1,20303002,46.260000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,0.5,2,20303003,46.260000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,elastic_net_all,Elastic Net (all params),42,16,16,post_if1,1,0,20303101,22.710000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_elastic_net_all_rc0p00025_seed42_ep30_L16_trainT0.pth
