site,method,method_label,sigma_scale,sigma,seed,n_noise_repeats,acc_mean,acc_std
post_input_if,l2,L2,absolute,0,40,1,67.290000,0.000000
post_input_if,l2,L2,absolute,0,41,1,80.020000,0.000000
post_input_if,l2,L2,absolute,0,42,1,77.530000,0.000000
post_input_if,l2,L2,absolute,0,43,1,74.700000,0.000000
post_input_if,l2,L2,absolute,0,44,1,79.240000,0.000000
post_input_if,l2,L2,absolute,0.5,40,3,45.986667,0.362261
post_input_if,l2,L2,absolute,0.5,41,3,46.356667,0.421940
post_input_if,l2,L2,absolute,0.5,42,3,50.330000,0.314325
post_input_if,l2,L2,absolute,0.5,43,3,51.496667,0.168622
post_input_if,l2,L2,absolute,0.5,44,3,49.980000,0.548088
post_input_if,no_reg,No Reg,absolute,0,40,1,59.290000,0.000000
post_input_if,no_reg,No Reg,absolute,0,41,1,76.910000,0.000000
post_input_if,no_reg,No Reg,absolute,0,42,1,74.090000,0.000000
post_input_if,no_reg,No Reg,absolute,0,43,1,70.220000,0.000000
post_input_if,no_reg,No Reg,absolute,0,44,1,76.560000,0.000000
post_input_if,no_reg,No Reg,absolute,0.5,40,3,49.573333,0.973875
post_input_if,no_reg,No Reg,absolute,0.5,41,3,46.393333,0.321455
post_input_if,no_reg,No Reg,absolute,0.5,42,3,59.283333,0.277909
post_input_if,no_reg,No Reg,absolute,0.5,43,3,53.543333,0.342685
post_input_if,no_reg,No Reg,absolute,0.5,44,3,43.850000,0.476235
post_input_if,old_detach,MNE-L2,absolute,0,40,1,75.190000,0.000000
post_input_if,old_detach,MNE-L2,absolute,0,41,1,77.390000,0.000000
post_input_if,old_detach,MNE-L2,absolute,0,42,1,74.770000,0.000000
post_input_if,old_detach,MNE-L2,absolute,0,43,1,69.050000,0.000000
post_input_if,old_detach,MNE-L2,absolute,0,44,1,77.160000,0.000000
post_input_if,old_detach,MNE-L2,absolute,0.5,40,3,50.346667,0.372335
post_input_if,old_detach,MNE-L2,absolute,0.5,41,3,55.416667,0.260256
post_input_if,old_detach,MNE-L2,absolute,0.5,42,3,61.923333,0.214554
post_input_if,old_detach,MNE-L2,absolute,0.5,43,3,52.033333,0.064291
post_input_if,old_detach,MNE-L2,absolute,0.5,44,3,52.620000,0.406325
post_input_if,orthogonal,Orthogonal,absolute,0,40,1,59.510000,0.000000
post_input_if,orthogonal,Orthogonal,absolute,0,41,1,77.500000,0.000000
post_input_if,orthogonal,Orthogonal,absolute,0,42,1,74.940000,0.000000
post_input_if,orthogonal,Orthogonal,absolute,0,43,1,71.430000,0.000000
post_input_if,orthogonal,Orthogonal,absolute,0,44,1,77.210000,0.000000
post_input_if,orthogonal,Orthogonal,absolute,0.5,40,3,49.533333,0.405257
post_input_if,orthogonal,Orthogonal,absolute,0.5,41,3,47.160000,0.521440
post_input_if,orthogonal,Orthogonal,absolute,0.5,42,3,62.360000,0.308058
post_input_if,orthogonal,Orthogonal,absolute,0.5,43,3,55.200000,0.045826
post_input_if,orthogonal,Orthogonal,absolute,0.5,44,3,53.550000,0.366606
