folder,checkpoint_name,L,T,if_mode,noise_variance,noise_sigma,noise_type,repeats,max_batches,sigma_metric,sigma_time_reduce,sigma_eff,sigma_var_eff,p_metric,p_time_reduce,P_E,p_equal_count,p_total_count
mnist-checkpoints,cnn2_L[8].pth,8,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.31840951806447954,0.10138462119405413,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.3599469450866284,1733827,4816896
mnist-checkpoints,cnn2_L[8].pth,8,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9004658377083632,0.8108387248798243,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6889179255686649,3318446,4816896
mnist-checkpoints,cnn2_L[8].pth,8,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6366643428015448,0.40534148539492304,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.515805821840455,2484583,4816896
mnist-checkpoints_c16_c32,cnn2_L[16].pth,16,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.31003027137880695,0.0961187691712167,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7240746945750957,27902340,38535168
mnist-checkpoints_c16_c32,cnn2_L[16].pth,16,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.8771250458660409,0.7693483460855043,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8627659285149607,33246830,38535168
mnist-checkpoints_c16_c32,cnn2_L[16].pth,16,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.21933279492324959,0.04810687492884426,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7022166349449936,27060036,38535168
mnist-checkpoints_c16_c32,cnn2_L[16].pth,16,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6196295149753992,0.3839407358286484,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7991733421273783,30796279,38535168
mnist-checkpoints_c16_c32,cnn2_L[16].pth,16,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.4378175050691425,0.19168416774496866,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7556007021949405,29117200,38535168
mnist-checkpoints_c16_c32,cnn2_L[2].pth,2,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.33131609786733446,0.10977035670603713,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7273301883619658,28027791,38535168
mnist-checkpoints_c16_c32,cnn2_L[2].pth,2,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9382197782108823,0.8802563522260771,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7854160386688855,30266139,38535168
mnist-checkpoints_c16_c32,cnn2_L[2].pth,2,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.23441974745646393,0.05495261799755233,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7192427187549825,27716139,38535168
mnist-checkpoints_c16_c32,cnn2_L[2].pth,2,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6626585448279175,0.4391163470334532,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7747343673187048,29854519,38535168
mnist-checkpoints_c16_c32,cnn2_L[2].pth,2,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.468927364217143,0.21989287291163706,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7445196034956951,28690188,38535168
mnist-checkpoints_c16_c32,cnn2_L[32].pth,32,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3157176480655404,0.09967763330003643,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7077683688831978,27273973,38535168
mnist-checkpoints_c16_c32,cnn2_L[32].pth,32,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.8932315567715265,0.7978626140124848,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8548675589010019,32942465,38535168
mnist-checkpoints_c16_c32,cnn2_L[32].pth,32,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.22344396754024157,0.049927206630124524,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6858876546223959,26430796,38535168
mnist-checkpoints_c16_c32,cnn2_L[32].pth,32,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6310866226840889,0.3982703253308095,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7885956537155878,30388666,38535168
mnist-checkpoints_c16_c32,cnn2_L[32].pth,32,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.44580942657408273,0.19874604482231248,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7433528251388446,28645226,38535168
mnist-checkpoints_c16_c32,cnn2_L[4].pth,4,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.33533233554026126,0.11244777525888637,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6734809875488281,25952703,38535168
