folder,checkpoint,checkpoint_name,L,T_snn,ann_reference_T,snn_mode,layer_position,time_reduce_snn,sigma_conv,var_conv,num_elements,max_batches,batch_size
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.162552299186317,1.3515278483433923,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.484267966415061,6.171587328956023,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.123446142882922,26.249700379021892,802816,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.1977151552402597,0.03909128261167999,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.5902573968525103,0.34840379453910186,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.2975199737293643,1.68355808222665,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.7358653241726314,7.484959072010218,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.588872119846618,31.235491571998836,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.2605696776076048,0.0678965568885311,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.5118797852074832,0.2620209145040592,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.1867387712180273,1.4083489111120735,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.4503040859920713,6.00399011382944,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.130342945501247,26.320418738454407,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.24934083401919205,0.062170851509386275,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.4875688098755982,0.23772334436350723,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.9912740449220248,0.9826242321360723,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.1573205270480176,4.654031856422737,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,4.402241834619124,19.37973317047075,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.17548887695692833,0.030796345935603927,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.4606210952646764,0.21217179340283004,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.8699666883232573,0.7568420387921355,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.8613652716447984,3.4646806744853142,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,3.846679546226322,14.796943531355941,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.20328852230537678,0.04132622330110367,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.3901799779249118,0.1522404151734847,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.874871800676455,0.7654006676188627,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.8435853866961538,3.398807078039607,6422528,4,128
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,3.7546679622894303,14.097531507042662,6422528,4,128
