folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,p_e_if1_firing_rate,equal_count,total_count,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.46362346208014454,2233226,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.3599469450866284,1733827,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7866341727120536,3789135,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7043803727545705,3392927,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6047479538690477,2913008,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5218640801046981,2513765,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.4541437058221726,2187563,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7629338478555485,3674973,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7129778180803571,3434340,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.640269169191114,3084110,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5909448740433674,2846520,4816896,0.5,0.7071067811865476,gaussian,6,4
