folder,checkpoint,checkpoint_name,L,T_snn,ann_reference_T,snn_mode,layer_position,time_reduce_snn,sigma_conv,var_conv,num_elements,max_batches,batch_size
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,0,normal,pre_if1_bn1_output,mean_over_time,1.2062878425896812e-07,1.4551303591796677e-14,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,0,normal,pre_if1_bn1_output,mean_over_time,0.3189101567979907,0.10170368810891899,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,0,normal,pre_if1_bn1_output,mean_over_time,0.27504687863923805,0.07565078544918774,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,0,normal,pre_if1_bn1_output,mean_over_time,0.2654133667944258,0.07044425527315241,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,0,normal,pre_if1_bn1_output,mean_over_time,0.2615165261738557,0.06839089346204094,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,0,normal,pre_if1_bn1_output,mean_over_time,0.3959635157489369,0.15678710580425861,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,0,normal,pre_if1_bn1_output,mean_over_time,1.8949002526393218e-07,3.590646967452566e-14,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,0,normal,pre_if1_bn1_output,mean_over_time,0.20446503784275377,0.041805951700038736,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,0,normal,pre_if1_bn1_output,mean_over_time,0.17747099054726861,0.031495952485828704,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,0,normal,pre_if1_bn1_output,mean_over_time,0.16911158359876377,0.028598727707281668,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,0,normal,pre_if1_bn1_output,mean_over_time,0.2357583357943324,0.055581992896513194,802816,4,128
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,4,0,normal,pre_if1_bn1_output,mean_over_time,0.13777889809509802,0.018983024760299404,802816,4,128
