folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,pre_quant_if2_input,mean_over_time,0.8562455670899923,0.7331564711612625,0.8567185066882154,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,pre_quant_if2_input,mean_over_time,0.5161846476589077,0.2664465904787507,0.5166191384201775,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,pre_quant_if2_input,mean_over_time,0.3489837162605101,0.12178963421499622,0.3492654744805376,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,pre_quant_if2_input,mean_over_time,0.2574558177063846,0.06628349807086313,0.25760399531920036,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,pre_quant_if2_input,mean_over_time,0.19762976379977928,0.03905752353955655,0.19772196970695305,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,pre_quant_if2_input,mean_over_time,1.1874236499444595,1.4099749244474222,1.1882338100814285,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,pre_quant_if2_input,mean_over_time,0.6428756374547796,0.4132890852328892,0.6468180504573035,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,pre_quant_if2_input,mean_over_time,0.49392852190725356,0.24396538475348428,0.4939758691709855,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,pre_quant_if2_input,mean_over_time,0.46847679842523354,0.21947051066275688,0.4686344664124659,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,pre_quant_if2_input,mean_over_time,0.46079460853491555,0.21233167125484606,0.4613634610089239,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,pre_quant_if2_input,mean_over_time,1.3656125929052092,1.8648977539012888,1.3656194782944475,0.5,0.7071067811865476,gaussian,6,4
