folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.5738037382643171,0.32925073004610483,0.5738038417180851,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.405195004927522,0.16418299201821454,0.4051951522633162,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.2866716777476038,0.082180650822626,0.2866716802028848,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.3204379005011635,1.7435562490799206,1.3204381267644136,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.9322032273624753,0.8690028571050148,0.9322032478422898,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.6598172963261649,0.4353588645311701,0.6598173681117359,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.4661098136923423,0.21725835842031002,0.4661098138768583,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.32995181367318355,0.10886819934622322,0.3299518345383762,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.3208748531655599,1.7447103777251396,1.3208748837902795,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.9349544224878965,0.8741397721296761,0.9349544409261042,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.6602888606394711,0.43598137948457094,0.6602888944398344,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.4674101855515466,0.21847228155733125,0.4674102370800092,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.3302058819478005,0.10903592447292475,0.3302059361369761,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.2308446539145819,1.5149785620701066,1.2308448859677223,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.8714747694807047,0.7594682738414473,0.8714747697935906,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.6153962559773393,0.37871255187092684,0.6153962621781706,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.43522591260430016,0.1894215950022459,0.4352259783895746,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.30757187860053514,0.09460046050586234,0.3075719500067446,0.5,0.7071067811865476,gaussian,6,4
