checkpoint,layer,type,shape,m_layer_mean,m_layer_strict,numel
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed61.pth,classifier.weight,fc,"(10, 196)",0.030689017847180367,0.04541444405913353,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed61.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.14349621534347534,0.1979319304227829,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed61.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.0715351477265358,0.08473734557628632,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed62.pth,classifier.weight,fc,"(10, 196)",0.047715988010168076,0.08529309183359146,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed62.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.16019652783870697,0.20239686965942383,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed62.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.09915906190872192,0.12051468342542648,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed63.pth,classifier.weight,fc,"(10, 196)",0.036593977361917496,0.056990813463926315,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed63.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.11418669670820236,0.15027961134910583,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed63.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.08542047441005707,0.10514304786920547,72
mnist-checkpoints/cnn2_L[2]_T[2]_smokecheck_seed44.pth,classifier.weight,fc,"(10, 196)",0.05134045332670212,0.07011492550373077,1960
mnist-checkpoints/cnn2_L[2]_T[2]_smokecheck_seed44.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.23976381123065948,0.3428671956062317,18
mnist-checkpoints/cnn2_L[2]_T[2]_smokecheck_seed44.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.10551419854164124,0.1312207579612732,72
mnist-checkpoints/cnn2_L[2]_ann2snn_smoke_seed44.pth,classifier.weight,fc,"(10, 196)",0.059995852410793304,0.07524391263723373,1960
mnist-checkpoints/cnn2_L[2]_ann2snn_smoke_seed44.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.23338225483894348,0.3308662474155426,18
mnist-checkpoints/cnn2_L[2]_ann2snn_smoke_seed44.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.10226121544837952,0.12129257619380951,72
mnist-checkpoints/cnn2_L[32].pth,classifier.weight,fc,"(10, 196)",0.29621076583862305,0.4586138129234314,1960
mnist-checkpoints/cnn2_L[32].pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5073542594909668,0.6194705963134766,18
mnist-checkpoints/cnn2_L[32].pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4034689664840698,0.5072376728057861,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed44.pth,classifier.weight,fc,"(10, 196)",0.30876168608665466,0.4160192012786865,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed44.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5363495349884033,0.6905152797698975,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed44.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3045312166213989,0.3492472767829895,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed45.pth,classifier.weight,fc,"(10, 196)",0.2680806815624237,0.3615715205669403,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed45.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5076624751091003,0.5304318070411682,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed45.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3403815031051636,0.38620373606681824,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed46.pth,classifier.weight,fc,"(10, 196)",0.29814815521240234,0.40007156133651733,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed46.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4206315279006958,0.4668090045452118,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed46.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.37117913365364075,0.4258989989757538,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed47.pth,classifier.weight,fc,"(10, 196)",0.3383667469024658,0.4430010914802551,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed47.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.3862084746360779,0.41451120376586914,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed47.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3234117329120636,0.41499945521354675,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed48.pth,classifier.weight,fc,"(10, 196)",0.2717129588127136,0.3546069264411926,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed48.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.39887216687202454,0.47511211037635803,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed48.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3744230270385742,0.5395246744155884,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed49.pth,classifier.weight,fc,"(10, 196)",0.3322599232196808,0.3867122232913971,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed49.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4384905695915222,0.4650115370750427,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed49.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3381969928741455,0.36685311794281006,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed50.pth,classifier.weight,fc,"(10, 196)",0.2929188013076782,0.4132551848888397,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed50.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4959351718425751,0.5450950264930725,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed50.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.30690425634384155,0.3387148380279541,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed51.pth,classifier.weight,fc,"(10, 196)",0.28470608592033386,0.37227651476860046,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed51.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.37379592657089233,0.4288298785686493,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed51.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3461087644100189,0.37924161553382874,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed52.pth,classifier.weight,fc,"(10, 196)",0.3603557348251343,0.5026733875274658,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed52.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.36181512475013733,0.3832511305809021,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed52.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3700442612171173,0.4512605667114258,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed53.pth,classifier.weight,fc,"(10, 196)",0.3196793496608734,0.4046657979488373,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed53.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4309993088245392,0.5028456449508667,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed53.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3688915967941284,0.39739328622817993,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed54.pth,classifier.weight,fc,"(10, 196)",0.34086400270462036,0.4748878479003906,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed54.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.437190979719162,0.5055482387542725,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed54.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35933852195739746,0.3997960686683655,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed55.pth,classifier.weight,fc,"(10, 196)",0.3283799886703491,0.4273577034473419,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed55.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.3750423491001129,0.3960311710834503,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed55.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.40064769983291626,0.5757365822792053,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed56.pth,classifier.weight,fc,"(10, 196)",0.2772231101989746,0.36624881625175476,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed56.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.350687712430954,0.41982001066207886,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed56.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.34080371260643005,0.42254140973091125,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed57.pth,classifier.weight,fc,"(10, 196)",0.2741375267505646,0.3764486610889435,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed57.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.43143436312675476,0.4738512635231018,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed57.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3825276494026184,0.54686039686203,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed58.pth,classifier.weight,fc,"(10, 196)",0.2894286513328552,0.47617125511169434,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed58.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4040192663669586,0.47032198309898376,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed58.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.34556591510772705,0.3666306436061859,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed59.pth,classifier.weight,fc,"(10, 196)",0.25362786650657654,0.3219454884529114,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed59.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.49328967928886414,0.5827375650405884,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed59.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4017379581928253,0.46551698446273804,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed60.pth,classifier.weight,fc,"(10, 196)",0.2557753920555115,0.31080904603004456,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed60.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.33437198400497437,0.3845764398574829,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed60.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.37844839692115784,0.44986692070961,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed61.pth,classifier.weight,fc,"(10, 196)",0.29313164949417114,0.3690759241580963,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed61.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4775671362876892,0.49651873111724854,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed61.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3589213788509369,0.4372405707836151,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed62.pth,classifier.weight,fc,"(10, 196)",0.32686129212379456,0.40398162603378296,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed62.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.39741626381874084,0.4362500011920929,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed62.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35336607694625854,0.37374284863471985,72
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed63.pth,classifier.weight,fc,"(10, 196)",0.3195788860321045,0.4404676854610443,1960
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed63.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.47715771198272705,0.5426936745643616,18
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed63.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4005924463272095,0.4673769176006317,72
mnist-checkpoints/cnn2_L[4].pth,classifier.weight,fc,"(10, 196)",0.2926531732082367,0.3758579194545746,1960
mnist-checkpoints/cnn2_L[4].pth,conv1.weight,conv,"(2, 1, 3, 3)",0.45092329382896423,0.4933941662311554,18
mnist-checkpoints/cnn2_L[4].pth,conv2.weight,conv,"(4, 2, 3, 3)",0.339026540517807,0.4028415083885193,72
mnist-checkpoints/cnn2_L[64].pth,classifier.weight,fc,"(10, 196)",0.2846274673938751,0.44690096378326416,1960
mnist-checkpoints/cnn2_L[64].pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4926908314228058,0.6043789386749268,18
mnist-checkpoints/cnn2_L[64].pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4158051908016205,0.5739642977714539,72
mnist-checkpoints/cnn2_L[8].pth,classifier.weight,fc,"(10, 196)",0.27606886625289917,0.37923136353492737,1960
mnist-checkpoints/cnn2_L[8].pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4349217712879181,0.4728732109069824,18
mnist-checkpoints/cnn2_L[8].pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3616735637187958,0.4297226667404175,72
mnist-checkpoints_c16_c32/cnn2_L[16].pth,classifier.weight,fc,"(10, 1568)",0.05292767286300659,0.07063788920640945,15680
mnist-checkpoints_c16_c32/cnn2_L[16].pth,conv1.weight,conv,"(16, 1, 3, 3)",0.20444634556770325,0.43617957830429077,144
mnist-checkpoints_c16_c32/cnn2_L[16].pth,conv2.weight,conv,"(32, 16, 3, 3)",0.12787160277366638,0.21707384288311005,4608
mnist-checkpoints_c16_c32/cnn2_L[2].pth,classifier.weight,fc,"(10, 1568)",0.15646527707576752,0.19051286578178406,15680
mnist-checkpoints_c16_c32/cnn2_L[2].pth,conv1.weight,conv,"(16, 1, 3, 3)",0.23403318226337433,0.37924474477767944,144
mnist-checkpoints_c16_c32/cnn2_L[2].pth,conv2.weight,conv,"(32, 16, 3, 3)",0.1712600737810135,0.2173600047826767,4608
mnist-checkpoints_c16_c32/cnn2_L[32].pth,classifier.weight,fc,"(10, 1568)",0.0515698567032814,0.06731471419334412,15680
mnist-checkpoints_c16_c32/cnn2_L[32].pth,conv1.weight,conv,"(16, 1, 3, 3)",0.21155568957328796,0.36909520626068115,144
mnist-checkpoints_c16_c32/cnn2_L[32].pth,conv2.weight,conv,"(32, 16, 3, 3)",0.13688762485980988,0.230421245098114,4608
mnist-checkpoints_c16_c32/cnn2_L[4].pth,classifier.weight,fc,"(10, 1568)",0.10376637428998947,0.1217445656657219,15680
mnist-checkpoints_c16_c32/cnn2_L[4].pth,conv1.weight,conv,"(16, 1, 3, 3)",0.23928560316562653,0.4831545054912567,144
mnist-checkpoints_c16_c32/cnn2_L[4].pth,conv2.weight,conv,"(32, 16, 3, 3)",0.16983136534690857,0.2707323729991913,4608
mnist-checkpoints_c16_c32/cnn2_L[8].pth,classifier.weight,fc,"(10, 1568)",0.061297692358493805,0.07644418627023697,15680
mnist-checkpoints_c16_c32/cnn2_L[8].pth,conv1.weight,conv,"(16, 1, 3, 3)",0.23083050549030304,0.5466673374176025,144
mnist-checkpoints_c16_c32/cnn2_L[8].pth,conv2.weight,conv,"(32, 16, 3, 3)",0.13637055456638336,0.24463865160942078,4608
mnist-checkpoints_c4_c8/cnn2_L[16].pth,classifier.weight,fc,"(10, 392)",0.10876841098070145,0.1318933069705963,3920
mnist-checkpoints_c4_c8/cnn2_L[16].pth,conv1.weight,conv,"(4, 1, 3, 3)",0.2841830253601074,0.41010114550590515,36
mnist-checkpoints_c4_c8/cnn2_L[16].pth,conv2.weight,conv,"(8, 4, 3, 3)",0.2248048037290573,0.2655056118965149,288
mnist-checkpoints_c4_c8/cnn2_L[2].pth,classifier.weight,fc,"(10, 392)",0.19250810146331787,0.2744923532009125,3920
mnist-checkpoints_c4_c8/cnn2_L[2].pth,conv1.weight,conv,"(4, 1, 3, 3)",0.3416299819946289,0.4626670479774475,36
mnist-checkpoints_c4_c8/cnn2_L[2].pth,conv2.weight,conv,"(8, 4, 3, 3)",0.26653528213500977,0.29080328345298767,288
mnist-checkpoints_c4_c8/cnn2_L[32].pth,classifier.weight,fc,"(10, 392)",0.17161305248737335,0.2011709362268448,3920
mnist-checkpoints_c4_c8/cnn2_L[32].pth,conv1.weight,conv,"(4, 1, 3, 3)",0.32735028862953186,0.42291170358657837,36
mnist-checkpoints_c4_c8/cnn2_L[32].pth,conv2.weight,conv,"(8, 4, 3, 3)",0.29595816135406494,0.34362542629241943,288
mnist-checkpoints_c4_c8/cnn2_L[4].pth,classifier.weight,fc,"(10, 392)",0.21266205608844757,0.26625025272369385,3920
mnist-checkpoints_c4_c8/cnn2_L[4].pth,conv1.weight,conv,"(4, 1, 3, 3)",0.3696392774581909,0.47071948647499084,36
mnist-checkpoints_c4_c8/cnn2_L[4].pth,conv2.weight,conv,"(8, 4, 3, 3)",0.29890576004981995,0.3370759189128876,288
mnist-checkpoints_c4_c8/cnn2_L[8].pth,classifier.weight,fc,"(10, 392)",0.1434451788663864,0.16984570026397705,3920
mnist-checkpoints_c4_c8/cnn2_L[8].pth,conv1.weight,conv,"(4, 1, 3, 3)",0.28577545285224915,0.3331493139266968,36
mnist-checkpoints_c4_c8/cnn2_L[8].pth,conv2.weight,conv,"(8, 4, 3, 3)",0.24593883752822876,0.2877998650074005,288
