arch,hidden_size,L,T,reg_coeff,checkpoint,p_e,acc,sigma_eff
fc2_h128,128,16,16,0.001,mnist-checkpoints/fc2_h128_L[16]_ablation_mne_l2_l16_fc2_h128_rc1em03.pth,0.8439076741536459,98.07,3.8132912134149812
fc2_h128,128,16,16,0.01,mnist-checkpoints/fc2_h128_L[16]_ablation_mne_l2_l16_fc2_h128_rc1em02.pth,0.8333791097005209,96.65,1.0074319257244608
fc2_h128,128,16,16,0.05,mnist-checkpoints/fc2_h128_L[16]_ablation_mne_l2_l16_fc2_h128_rc5em02.pth,0.97442626953125,97.07,1.9775431589981392
fc2,256,16,16,0.0001,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em04.pth,0.7655817667643229,98.1,2.3573580575719713
fc2,256,16,16,0.0003,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc3em04.pth,0.7975387573242188,98.07,2.4873781906224184
fc2,256,16,16,0.0005,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc5em04.pth,0.838769276936849,98.11,2.6356304826399555
fc2,256,16,16,0.001,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em03.pth,0.8799718221028646,98.02,2.8998337105514205
fc2,256,16,16,0.01,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc1em02.pth,0.9171536763509115,96.89,1.5835426062174394
fc2,256,16,16,0.05,mnist-checkpoints/fc2_L[16]_ablation_mne_l2_l16_fc2_rc5em02.pth,0.9755427042643229,97.4,1.7707961248410449
fc2_h512,512,16,16,0.0001,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc1em04.pth,0.8358554840087891,98.21,1.9584899876984796
fc2_h512,512,16,16,0.0003,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc3em04.pth,0.8689161936442057,98.29,2.0459322353198552
fc2_h512,512,16,16,0.0005,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc5em04.pth,0.8838202158610026,98.07,2.109928264082523
fc2_h512,512,16,16,0.001,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc1em03.pth,0.915154774983724,98.11,2.336703946948789
fc2_h512,512,16,16,0.01,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc1em02.pth,0.9190680185953776,96.94,1.0339022660313386
fc2_h512,512,16,16,0.05,mnist-checkpoints/fc2_h512_L[16]_ablation_mne_l2_l16_fc2_h512_rc5em02.pth,0.9789835611979166,97.65,1.5918687515810575
