L,T,num_checkpoints,sigma_eff_mean,sigma_eff_min,sigma_eff_max,var_eff_mean
2,0,24,0.23554385140870068,0.12935666247377672,0.33140522601854067,0.05876997755123056
2,2,21,0.07135662471067754,0.0011160707334733138,0.12498481344953477,0.006799477288310263
4,0,3,0.28368667279148985,0.2795897303887274,0.28924490766031163,0.08049473308203246
8,0,3,0.22894446777938218,0.21646166538194767,0.2435492427545876,0.0525401101852481
16,0,23,0.1924542815469614,0.10771547732731902,0.35571162986918803,0.0410385535343735
32,0,23,0.1784563927550356,0.08617528866645671,0.3421086426945429,0.0357737281861957
64,0,1,0.23488316148224028,0.23488316148224028,0.23488316148224028,0.05517009954789217
